"Activity Date","Name","Address","City","Description"
05/08/2021,"VIEW MUSIC BAR","1431 W KNOX ST STE 300","TORRANCE","RESTAURANT (61-150) SEATS HIGH RISK"
05/07/2021,"SALON REPUBLIC","21250 HAWTHRONE BLVD ","TORRANCE","HAIR SALONS/ BARBERSHOPS"
05/07/2021,"THE CANBY","19312 VANOWEN ST","RESEDA","RESTAURANT (31-60) SEATS HIGH RISK"
05/06/2021,"EAT                           ","11108 MAGNOLIA BLVD ","NORTH HOLLYWOOD","RESTAURANT (31-60) SEATS HIGH RISK"
05/06/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
05/06/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
05/05/2021,"BOSTON MARKET #631          ","14480 SHERMAN WAY ","VAN NUYS","RESTAURANT (31-60) SEATS HIGH RISK"
05/04/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
05/04/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
05/01/2021,"THE FRENCH QUARTER BAR & GRILL","16728 BELLFLOWER BLVD","BELLFLOWER","RESTAURANT (151 + ) SEATS HIGH RISK"
04/30/2021,"THE NICKEL MINE","11363 SANTA MONICA BLVD","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
04/30/2021,"SABOR COCINA MEXICANA         ","23953 NEWHALL RANCH RD ","VALENCIA","RESTAURANT (61-150) SEATS HIGH RISK"
04/30/2021,"PREMIER FIESTA MEXICANA","7300 EASTERN AVE ","BELL GARDENS","RESTAURANT (151 + ) SEATS HIGH RISK"
04/29/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/29/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/28/2021,"7-ELEVEN STORE 34059C","6586 VAN NUYS BLVD","VAN NUYS","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
04/28/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
04/27/2021,"NO PROGRAM IDENTIFIER","1509 W PICO BLVD ","LOS ANGELES","GARMENT MANUFACTURER (1,001-4,999) SQ. FT."
04/27/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/27/2021,"QUICKLY BOBA","14851 VICTORY BLVD # J","VAN NUYS","RESTAURANT (0-30) SEATS HIGH RISK"
04/27/2021,"MONG KOREAN BBQ","100 S WESTERN AVE","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
04/27/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
04/24/2021,"SPIRIT FAIR POP UP VENDOR EVENT","900 N CABRILLO AVE ","SAN PEDRO","UNREGULATED FACILITY (COVID-19 HOO)"
04/24/2021,"SPIRIT FAIR POP UP VENDOR EVENT","900 N CABRILLO AVE ","SAN PEDRO","UNREGULATED FACILITY (COVID-19 HOO)"
04/23/2021,"GEN KOREAN BBQ HOUSE","11472 SOUTH ST","CERRITOS","RESTAURANT (61-150) SEATS HIGH RISK"
04/23/2021,"PATTERN BAR","100 W 9TH ST ","LOS ANGELES","RESTAURANT (31-60) SEATS MODERATE RISK"
04/23/2021,"ENRICH FIT GYM , PMA","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
04/23/2021,"TRITON GYM","1400 AVIATION BLVD ","REDONDO BEACH","GYMS AND FITNESS CENTERS (NO POOL)"
04/22/2021,"WT HIBACHI GRILL BUFFET","1003 S GLENDORA AVE","WEST COVINA","RESTAURANT (151 + ) SEATS HIGH RISK"
04/22/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
04/22/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
04/22/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
