Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
City of Agoura Hills,Santa Monica Mountains,157,752,1,5,False
City of Alhambra,San Gabriel Valley,1223,1410,27,31,False
City of Arcadia,San Gabriel Valley,475,822,33,57,False
City of Artesia,Southeast,356,2120,8,48,False
City of Avalon,Harbor,6,155,0,0,False
City of Azusa,San Gabriel Valley,1495,2988,22,44,False
City of Baldwin Park,San Gabriel Valley,2877,3748,83,108,False
City of Bell,Southeast,1557,4285,41,113,False
City of Bell Gardens,Southeast,1880,4365,21,49,False
City of Bellflower,Southeast,2329,2996,60,77,False
City of Beverly Hills,Westside,662,1918,12,35,False
City of Bradbury,San Gabriel Valley,14,1310,0,0,False
City of Burbank,San Fernando Valley,1468,1370,56,52,False
City of Calabasas,Santa Monica Mountains,259,1065,12,49,False
City of Carson,Harbor,1800,1918,59,63,False
City of Cerritos,Southeast,553,1105,16,32,False
City of Claremont,Pomona Valley,374,1025,10,27,False
City of Commerce,Southeast,565,4323,11,84,True
City of Compton,Southeast,3949,3953,69,69,False
City of Covina,San Gabriel Valley,1350,2753,37,75,False
City of Cudahy,Southeast,1066,4378,15,62,False
City of Culver City,Westside,381,956,29,73,False
City of Diamond Bar,San Gabriel Valley,538,935,9,16,False
City of Downey,Southeast,3987,3489,84,74,False
City of Duarte,San Gabriel Valley,539,2448,29,132,False
City of El Monte,San Gabriel Valley,4262,3634,155,132,False
City of El Segundo,South Bay,129,768,1,6,False
City of Gardena,South Bay,1224,1996,48,78,False
City of Glendale,Verdugos,3533,1711,174,84,False
City of Glendora,San Gabriel Valley,1228,2327,67,127,False
City of Hawaiian Gardens,Harbor,524,3570,2,14,False
City of Hawthorne,South Bay,1909,2150,42,47,False
City of Hermosa Beach,South Bay,206,1047,4,20,False
City of Hidden Hills,Santa Monica Mountains,7,370,0,0,False
City of Huntington Park,Southeast,2833,4763,54,91,False
City of Industry,San Gabriel Valley,36,8238,2,458,False
City of Inglewood,South Bay,2801,2466,89,78,False
City of Irwindale,San Gabriel Valley,69,4729,2,137,False
City of La Canada Flintridge,Verdugos,177,855,7,34,False
City of La Habra Heights,San Gabriel Valley,42,770,0,0,False
City of La Mirada,Southeast,828,1669,26,52,False
City of La Puente,San Gabriel Valley,1464,3597,18,44,False
City of La Verne,Pomona Valley,453,1361,10,30,False
City of Lakewood,Harbor,1254,1560,14,17,False
City of Lancaster,Antelope Valley,3255,2015,50,31,True
City of Lawndale,South Bay,620,1844,10,30,False
City of Lomita,South Bay,237,1143,9,43,False
City of Lynwood,Southeast,3196,4436,97,135,True
City of Malibu,Santa Monica Mountains,101,779,3,23,False
