Area,Region,Cases,Case Rate,Deaths,Death Rate,CF Outbreak
City of Agoura Hills,Santa Monica Mountains,69,330,1,5,False
City of Alhambra,San Gabriel Valley,559,645,11,13,False
City of Arcadia,San Gabriel Valley,207,358,9,16,False
City of Artesia,Southeast,132,786,3,18,False
City of Avalon,Harbor,6,155,0,0,False
City of Azusa,San Gabriel Valley,572,1143,9,18,False
City of Baldwin Park,San Gabriel Valley,1168,1521,26,34,False
City of Bell,Southeast,747,2056,22,61,False
City of Bell Gardens,Southeast,859,1994,12,28,False
City of Bellflower,Southeast,1106,1423,35,45,False
City of Beverly Hills,Westside,329,953,7,20,False
City of Bradbury,San Gabriel Valley,7,655,0,0,False
City of Burbank,San Fernando Valley,656,612,48,45,False
City of Calabasas,Santa Monica Mountains,141,580,11,45,False
City of Carson,Harbor,787,839,31,33,False
City of Cerritos,Southeast,273,545,6,12,False
City of Claremont,Pomona Valley,142,389,2,5,False
City of Commerce,Southeast,249,1905,1,8,True
City of Compton,Southeast,1740,1742,25,25,False
City of Covina,San Gabriel Valley,560,1142,10,20,False
City of Cudahy,Southeast,534,2193,10,41,False
City of Culver City,Westside,234,587,27,68,False
City of Diamond Bar,San Gabriel Valley,224,389,4,7,False
City of Downey,Southeast,2014,1763,52,46,False
City of Duarte,San Gabriel Valley,234,1063,20,91,False
City of El Monte,San Gabriel Valley,1909,1628,51,43,False
City of El Segundo,South Bay,70,417,0,0,False
City of Gardena,South Bay,591,964,31,51,False
City of Glendale,Verdugos,1617,783,114,55,False
City of Glendora,San Gabriel Valley,480,910,12,23,False
City of Hawaiian Gardens,Harbor,218,1485,1,7,False
City of Hawthorne,South Bay,876,987,25,28,False
City of Hermosa Beach,South Bay,99,503,2,10,False
City of Hidden Hills,Santa Monica Mountains,5,265,0,0,False
City of Huntington Park,Southeast,1403,2359,19,32,False
City of Industry,San Gabriel Valley,15,3432,2,458,False
City of Inglewood,South Bay,1207,1063,65,57,False
City of Irwindale,San Gabriel Valley,24,1645,0,0,False
City of La Canada Flintridge,Verdugos,84,406,6,29,False
City of La Habra Heights,San Gabriel Valley,17,312,0,0,False
City of La Mirada,Southeast,417,841,21,42,False
City of La Puente,San Gabriel Valley,599,1472,4,10,False
City of La Verne,Pomona Valley,161,484,2,6,False
City of Lakewood,Harbor,558,694,7,9,False
City of Lancaster,Antelope Valley,1335,826,21,13,True
City of Lawndale,South Bay,262,779,8,24,False
City of Lomita,South Bay,105,507,7,34,False
City of Lynwood,Southeast,1584,2199,60,83,True
City of Malibu,Santa Monica Mountains,58,447,2,15,False
City of Manhattan Beach,South Bay,173,481,4,11,False
City of Maywood,Southeast,702,2503,22,78,False
City of Monrovia,San Gabriel Valley,352,907,29,75,False
City of Montebello,Southeast,1083,1682,28,43,False
City of Monterey Park,San Gabriel Valley,396,636,12,19,False
City of Norwalk,Southeast,1433,1332,31,29,False
City of Palmdale,Antelope Valley,1528,961,22,14,False
City of Palos Verdes Estates,South Bay,58,429,2,15,False
City of Paramount,Southeast,1055,1883,12,21,False
City of Pico Rivera,Southeast,1174,1826,43,67,False
City of Pomona,Pomona Valley,1927,1236,30,19,False
City of Rancho Palos Verdes,South Bay,160,374,12,28,False
City of Redondo Beach,South Bay,266,387,9,13,False
City of Rolling Hills,South Bay,3,155,0,0,False
City of Rolling Hills Estates,South Bay,26,320,2,25,False
City of Rosemead,San Gabriel Valley,331,598,10,18,False
City of San Dimas,San Gabriel Valley,206,597,2,6,True
City of San Fernando,San Fernando Valley,351,1426,12,49,False
City of San Gabriel,San Gabriel Valley,288,703,22,54,False
City of San Marino,San Gabriel Valley,32,241,1,8,False
City of Santa Clarita,Northwest County,1419,644,29,13,False
City of Santa Fe Springs,Southeast,231,1258,1,5,False
City of Santa Monica,Westside,464,502,33,36,False
City of Sierra Madre,San Gabriel Valley,40,364,3,27,False
City of Signal Hill,Harbor,121,1026,0,0,False
City of South El Monte,San Gabriel Valley,344,1647,9,43,False
City of South Gate,Southeast,2075,2114,36,37,False
City of South Pasadena,San Gabriel Valley,175,672,23,88,False
City of Temple City,San Gabriel Valley,285,782,33,91,False
City of Torrance,South Bay,680,456,51,34,False
City of Vernon,Southeast,13,6220,0,0,False
City of Walnut,San Gabriel Valley,129,423,1,3,False
City of West Covina,San Gabriel Valley,1282,1184,19,18,False
City of West Hollywood,Central LA,304,823,4,11,False
City of Westlake Village,Santa Monica Mountains,10,120,0,0,False
City of Whittier,San Gabriel Valley,937,1072,14,16,False
Los Angeles - Adams-Normandie,South LA,118,1439,3,37,False
Los Angeles - Alsace,South LA,189,1519,0,0,False
Los Angeles - Angeles National Forest,Angeles Forest,2,5000,0,0,False
Los Angeles - Angelino Heights,Central LA,28,1119,1,40,False
Los Angeles - Arleta,San Fernando Valley,572,1664,10,29,False
Los Angeles - Atwater Village,Northeast LA,101,689,3,20,False
Los Angeles - Baldwin Hills,South LA,313,1006,22,71,False
Los Angeles - Bel Air,Westside,51,605,0,0,False
Los Angeles - Beverly Crest,Westside,62,495,2,16,False
Los Angeles - Beverlywood,Westside,74,562,0,0,False
Los Angeles - Boyle Heights,Eastside,2063,2374,31,36,True
Los Angeles - Brentwood,Westside,137,443,2,6,False
Los Angeles - Brookside,Central LA,1,172,0,0,False
Los Angeles - Cadillac-Corning,Central LA,55,772,1,14,False
Los Angeles - Canoga Park,San Fernando Valley,887,1359,42,64,False
Los Angeles - Carthay,Central LA,136,947,10,70,False
Los Angeles - Central,South LA,1120,2872,22,56,False
Los Angeles - Century City,Westside,60,469,0,0,False
Los Angeles - Century Palms/Cove,South LA,732,2168,6,18,False
Los Angeles - Chatsworth,San Fernando Valley,324,874,32,86,False
Los Angeles - Cheviot Hills,Westside,38,414,2,22,False
Los Angeles - Chinatown,Central LA,47,586,1,12,False
Los Angeles - Cloverdale/Cochran,Central LA,155,1065,5,34,False
Los Angeles - Country Club Park,Central LA,166,1095,20,132,False
Los Angeles - Crenshaw District,South LA,148,1070,2,14,False
Los Angeles - Crestview,Central LA,128,1126,17,150,False
Los Angeles - Del Rey,Westside,157,524,6,20,False
Los Angeles - Downtown,Central LA,363,1320,10,36,True
Los Angeles - Eagle Rock,Northeast LA,368,930,16,40,False
Los Angeles - East Hollywood,Central LA,379,1294,41,140,False
Los Angeles - Echo Park,Central LA,93,652,2,14,False
Los Angeles - El Sereno,Eastside,518,1239,23,55,False
Los Angeles - Elysian Park,Central LA,36,630,0,0,False
Los Angeles - Elysian Valley,Northeast LA,130,1278,0,0,False
Los Angeles - Encino,San Fernando Valley,254,562,14,31,False
Los Angeles - Exposition,South LA,41,1233,0,0,False
Los Angeles - Exposition Park,South LA,584,1300,13,29,False
Los Angeles - Faircrest Heights,Central LA,18,500,1,28,False
Los Angeles - Figueroa Park Square,South LA,129,1479,0,0,False
Los Angeles - Florence-Firestone,South LA,1084,2285,15,32,False
Los Angeles - Glassell Park,Northeast LA,331,1047,8,25,False
Los Angeles - Gramercy Place,South LA,120,1115,2,19,False
Los Angeles - Granada Hills,San Fernando Valley,584,1004,56,96,False
Los Angeles - Green Meadows,South LA,411,1911,5,23,False
Los Angeles - Hancock Park,Central LA,145,851,2,12,False
Los Angeles - Harbor City,Harbor,235,808,9,31,False
Los Angeles - Harbor Gateway,Harbor,385,883,8,18,False
Los Angeles - Harbor Pines,Harbor,9,374,0,0,False
Los Angeles - Harvard Heights,Central LA,276,1530,17,94,False
Los Angeles - Harvard Park,South LA,703,1853,9,24,False
Los Angeles - Highland Park,Northeast LA,521,1077,9,19,False
Los Angeles - Historic Filipinotown,Central LA,238,1716,8,58,False
Los Angeles - Hollywood,Central LA,559,819,6,9,False
Los Angeles - Hollywood Hills,Central LA,148,503,6,20,False
Los Angeles - Hyde Park,South LA,337,1181,7,25,False
Los Angeles - Jefferson Park,South LA,131,1623,0,0,False
Los Angeles - Koreatown,Central LA,555,1074,19,37,False
Los Angeles - Lafayette Square,Central LA,39,855,1,22,False
Los Angeles - Lake Balboa,San Fernando Valley,399,945,10,24,False
Los Angeles - Lakeview Terrace,San Fernando Valley,289,2201,10,76,False
Los Angeles - Leimert Park,South LA,134,880,2,13,False
Los Angeles - Lincoln Heights,Eastside,583,1789,33,101,False
Los Angeles - Little Armenia,Central LA,268,3340,42,523,False
Los Angeles - Little Bangladesh,Central LA,266,939,4,14,False
Los Angeles - Little Tokyo,Central LA,40,1277,2,64,False
Los Angeles - Longwood,Central LA,60,1394,0,0,False
Los Angeles - Los Feliz,Central LA,91,421,2,9,False
Los Angeles - Manchester Square,South LA,63,738,1,12,False
Los Angeles - Mandeville Canyon,Westside,4,128,0,0,False
Los Angeles - Mar Vista,Westside,151,356,5,12,False
Los Angeles - Marina Peninsula,Westside,21,482,0,0,False
Los Angeles - Melrose,Central LA,1008,1297,46,59,False
Los Angeles - Mid-city,Central LA,182,1211,20,133,False
Los Angeles - Miracle Mile,Central LA,87,484,5,28,False
Los Angeles - Mission Hills,San Fernando Valley,329,1364,12,50,False
Los Angeles - Mt. Washington,Northeast LA,220,911,5,21,False
Los Angeles - North Hills,San Fernando Valley,870,1413,32,52,False
