Date,Region,Area,Cases,Case Rate,CF Outbreak
2020-03-30,Santa Monica Mountains,City of Agoura Hills,9,42.52,
2020-03-30,San Gabriel Valley,City of Alhambra,11,12.69,
2020-03-30,San Gabriel Valley,City of Arcadia,9,15.79,
2020-03-30,Southeast,City of Artesia,,,
2020-03-30,Harbor,City of Avalon,0,0.0,
2020-03-30,San Gabriel Valley,City of Azusa,3,6.06,
2020-03-30,San Gabriel Valley,City of Baldwin Park,0,0.0,
2020-03-30,Southeast,City of Bell,11,30.06,
2020-03-30,Southeast,City of Bell Gardens,2,4.67,
2020-03-30,Southeast,City of Bellflower,17,22.35,
2020-03-30,Westside,City of Beverly Hills,28,80.8,
2020-03-30,San Gabriel Valley,City of Bradbury,0,0.0,
2020-03-30,San Fernando Valley,City of Burbank,21,20.06,
2020-03-30,Santa Monica Mountains,City of Calabasas,11,45.49,
2020-03-30,Harbor,City of Carson,35,37.34,
2020-03-30,Southeast,City of Cerritos,5,10.15,
2020-03-30,Pomona Valley,City of Claremont,1,2.77,
2020-03-30,Southeast,City of Commerce,,,
2020-03-30,Southeast,City of Compton,13,12.88,
2020-03-30,San Gabriel Valley,City of Covina,8,16.28,
2020-03-30,Southeast,City of Cudahy,,,
2020-03-30,Westside,City of Culver City,14,34.7,
2020-03-30,San Gabriel Valley,City of Diamond Bar,3,5.25,
2020-03-30,Southeast,City of Downey,25,21.97,
2020-03-30,San Gabriel Valley,City of Duarte,,,
2020-03-30,San Gabriel Valley,City of El Monte,1,0.88,
2020-03-30,South Bay,City of El Segundo,,,
2020-03-30,South Bay,City of Gardena,7,11.54,
2020-03-30,Verdugos,City of Glendale,62,30.75,
2020-03-30,San Gabriel Valley,City of Glendora,6,11.49,
2020-03-30,Harbor,City of Hawaiian Gardens,,,
2020-03-30,South Bay,City of Hawthorne,13,14.81,
2020-03-30,South Bay,City of Hermosa Beach,7,35.51,
2020-03-30,Santa Monica Mountains,City of Hidden Hills,0,0.0,
2020-03-30,Southeast,City of Huntington Park,4,6.72,
2020-03-30,San Gabriel Valley,City of Industry,0,0.0,
2020-03-30,South Bay,City of Inglewood,26,22.34,
2020-03-30,San Gabriel Valley,City of Irwindale,0,0.0,
2020-03-30,Verdugos,City of La Canada Flintridge,8,39.04,
2020-03-30,San Gabriel Valley,City of La Habra Heights,0,0.0,
2020-03-30,Southeast,City of La Mirada,7,14.15,
2020-03-30,San Gabriel Valley,City of La Puente,3,7.43,
2020-03-30,Pomona Valley,City of La Verne,2,6.04,
2020-03-30,Harbor,City of Lakewood,13,16.63,
2020-03-30,Antelope Valley,City of Lancaster,27,17.24,
2020-03-30,South Bay,City of Lawndale,4,11.98,
2020-03-30,South Bay,City of Lomita,,,
2020-03-30,Harbor,City of Long Beach,0,0.0,
2020-03-30,Southeast,City of Lynwood,16,22.16,
2020-03-30,Santa Monica Mountains,City of Malibu,,,
2020-03-30,South Bay,City of Manhattan Beach,31,88.14,
2020-03-30,Southeast,City of Maywood,5,17.78,
2020-03-30,San Gabriel Valley,City of Monrovia,4,10.68,
2020-03-30,Southeast,City of Montebello,4,6.28,
2020-03-30,San Gabriel Valley,City of Monterey Park,5,8.18,
2020-03-30,Southeast,City of Norwalk,15,14.3,
2020-03-30,Antelope Valley,City of Palmdale,9,5.64,
2020-03-30,South Bay,City of Palos Verdes Estates,14,102.44,
2020-03-30,Southeast,City of Paramount,7,12.45,
2020-03-30,Verdugos,City of Pasadena,0,0.0,
2020-03-30,Southeast,City of Pico Rivera,6,9.37,
2020-03-30,Pomona Valley,City of Pomona,5,3.22,
2020-03-30,South Bay,City of Rancho Palos Verdes,10,23.31,
2020-03-30,South Bay,City of Redondo Beach,34,49.05,
2020-03-30,South Bay,City of Rolling Hills,0,0.0,
2020-03-30,South Bay,City of Rolling Hills Estates,,,
2020-03-30,San Gabriel Valley,City of Rosemead,2,3.63,
2020-03-30,San Gabriel Valley,City of San Dimas,3,8.82,
2020-03-30,San Fernando Valley,City of San Fernando,,,
2020-03-30,San Gabriel Valley,City of San Gabriel,6,14.88,
2020-03-30,San Gabriel Valley,City of San Marino,,,
2020-03-30,Northwest County,City of Santa Clarita,41,18.69,
2020-03-30,Southeast,City of Santa Fe Springs,0,0.0,
2020-03-30,Westside,City of Santa Monica,47,50.32,
2020-03-30,San Gabriel Valley,City of Sierra Madre,0,0.0,
2020-03-30,Harbor,City of Signal Hill,,,
2020-03-30,San Gabriel Valley,City of South El Monte,0,0.0,
2020-03-30,Southeast,City of South Gate,14,14.04,
2020-03-30,San Gabriel Valley,City of South Pasadena,5,19.28,
2020-03-30,San Gabriel Valley,City of Temple City,1,2.74,
2020-03-30,South Bay,City of Torrance,43,29.31,
2020-03-30,Southeast,City of Vernon,0,0.0,
2020-03-30,San Gabriel Valley,City of Walnut,3,9.98,
2020-03-30,San Gabriel Valley,City of West Covina,7,6.5,
2020-03-30,Central LA,City of West Hollywood,53,148.05,
2020-03-30,Santa Monica Mountains,City of Westlake Village,0,0.0,
2020-03-30,San Gabriel Valley,City of Whittier,8,9.08,
2020-03-30,,Los Angeles,1171,29.03,
2020-03-30,South LA,Los Angeles - Adams-Normandie,,,
2020-03-30,South LA,Los Angeles - Alsace,,,
2020-03-30,Angeles Forest,Los Angeles - Angeles National Forest,0,0.0,
2020-03-30,Central LA,Los Angeles - Angelino Heights,0,0.0,
2020-03-30,San Fernando Valley,Los Angeles - Arleta,5,14.24,
2020-03-30,Northeast LA,Los Angeles - Atwater Village,,,
2020-03-30,South LA,Los Angeles - Baldwin Hills,9,30.01,
