,Date,Gender,Cases,Case Rate
0,2020-04-04,Female,2277,46.56
1,2020-04-04,Male,2641,55.48
3,2020-04-05,Female,2547,52.08
4,2020-04-05,Male,2899,60.9
6,2020-04-06,Female,2763,56.49
7,2020-04-06,Male,3082,64.74
9,2020-04-07,Female,2998,61.3
10,2020-04-07,Male,3313,69.6
12,2020-04-08,Female,3292,67.31
13,2020-04-08,Male,3569,74.97
15,2020-04-09,Female,3514,71.85
16,2020-04-09,Male,3792,79.66
18,2020-04-10,Female,3761,76.9
19,2020-04-10,Male,4013,84.3
21,2020-04-11,Female,3998,81.74
22,2020-04-11,Male,4216,88.56
24,2020-04-12,Female,4198,85.83
25,2020-04-12,Male,4402,92.47
27,2020-04-13,Female,4320,88.33
28,2020-04-13,Male,4508,94.7
30,2020-04-14,Female,4608,94.21
31,2020-04-14,Male,4774,100.29
33,2020-04-15,Female,4993,102.09
34,2020-04-15,Male,4807,100.98
36,2020-04-16,Female,4967,101.55
37,2020-04-16,Male,5179,108.79
39,2020-04-17,Female,5239,107.12
40,2020-04-17,Male,5408,113.61
42,2020-04-18,Female,5551,113.49
43,2020-04-18,Male,5698,119.7
45,2020-04-19,Female,5969,122.04
46,2020-04-19,Male,5841,122.7
48,2020-04-20,Female,6431,131.49
49,2020-04-20,Male,6561,137.83
51,2020-04-21,Female,7085,144.86
52,2020-04-21,Male,7192,151.08
54,2020-04-22,Female,7827,160.03
55,2020-04-22,Male,7706,161.88
57,2020-04-23,Female,8281,169.31
58,2020-04-23,Male,8314,174.65
60,2020-04-24,Female,8799,179.9
61,2020-04-24,Male,8744,183.68
63,2020-04-25,Female,9083,185.71
64,2020-04-25,Male,9008,189.23
66,2020-04-26,Female,9272,189.57
67,2020-04-26,Male,9220,193.68
69,2020-04-27,Female,9721,198.75
70,2020-04-27,Male,9621,202.11
72,2020-04-28,Female,9996,204.38
73,2020-04-28,Male,9868,207.3
75,2020-04-29,Female,10591,216.54
76,2020-04-29,Male,10745,225.72
78,2020-04-30,Female,10903,222.92
79,2020-04-30,Male,11085,232.86
81,2020-05-01,Female,11416,233.41
82,2020-05-01,Male,11551,242.65
