Residential Setting,Address,Staff Cases,Resident Cases,Deaths
Aegis Living Granada Hills,"10801 Lindley Ave, Granada Hills, CA, 91344",5,4,0
Affinity Healthcare Center,"7039 Alondra Blvd, Paramount, CA, 90723",34,32,8
Alcott Rehabilitation Hospital,"3551 W Olympic Blvd, Los Angeles, CA, 90019",24,28,16
Alexandria Care Center,"1515 N Alexandria Ave, Los Angeles, CA, 90027",36,49,21
"Alhambra Healthcare & Wellness Centre, LP (1)","415 S Garfield Ave, Alhambra, CA, 91801",2,2,1
"Alhambra Healthcare & Wellness Centre, LP (2)","415 S Garfield Ave, Alhambra, CA, 91801",9,3,2
Angels Nursing Health Center,"415 S Union Ave, Los Angeles, CA, 90017",2,1,0
Antelope Valley Care Center,"44567 15th St W, Lancaster, CA, 93534",8,3,0
Antelope Valley Rehabilitation Facility,"44900 60th St W, Lancaster, CA, 93536",0,3,0
Ararat Convalescent Hospital (1),"2373 Colorado Blvd, Los Angeles, CA, 90041",16,6,3
Ararat Convalescent Hospital (2),"2373 Colorado Blvd, Los Angeles, CA, 90041",0,3,0
Ararat Nursing Facility,"15099 Mission Hills Rd, Mission Hills, CA, 91345",7,3,0
Arbor Glen Care Center,"1033 E Arrow Hwy, Glendora, CA, 91740",25,55,8
Astoria Nursing and Rehab Center,,59,83,21
Atherton Baptist Home-Sam B. West,"214 S Atlantic Blvd, Alhambra, CA, 91801",9,2,0
Autumn Hills Health Care Center,"430 N Glendale Ave, Glendale, CA, 91206",24,57,15
Avalon Villa Care Center,"12029 S Avalon Blvd, Los Angeles, CA, 90061",0,1,0
Avantgarde Senior Living and Memory Care,,22,18,9
Baldwin Gardens Nursing Center,"10786 W Live Oak Ave, Temple City, CA, 91780",9,19,2
Barry J. Nidorf Juvenile Hall,"16350 Filbert St, Sylmar, CA, 91342",16,1,0
Beachwood Post Acute & Rehab,"1340 15th St, Santa Monica, CA, 90404",22,47,10
Beacon Healthcare Center,"919 N Sunset Ave, West Covina, CA, 91790",3,10,0
Bel Tooren Villa Convalescent Hospital,"16910 Woodruff Ave, Bellflower, CA, 90706",17,60,18
Bellflower Post Acute,"9710 Artesia Blvd, Bellflower, CA, 90706",2,2,0
