,Date,Age,Cases,Case Rate
0,2020-03-30,0 to 17,37,1.76
1,2020-03-30,18 to 40,918,28.4
2,2020-03-30,41 to 65,943,29.94
3,2020-03-30,over 65,467,39.83
4,2020-03-31,0 to 17,27,1.29
5,2020-03-31,18 to 40,1101,34.06
6,2020-03-31,41 to 65,1172,37.21
7,2020-03-31,over 65,553,47.16
8,2020-04-01,0 to 17,32,1.53
9,2020-04-01,18 to 40,1228,37.99
10,2020-04-01,41 to 65,1399,44.42
11,2020-04-01,over 65,669,57.05
12,2020-04-02,0 to 17,36,1.72
13,2020-04-02,18 to 40,1385,42.85
14,2020-04-02,41 to 65,1630,51.75
15,2020-04-02,over 65,787,67.12
16,2020-04-03,0 to 17,40,1.91
17,2020-04-03,18 to 40,1538,47.58
18,2020-04-03,41 to 65,1859,59.02
19,2020-04-03,over 65,907,77.35
20,2020-04-04,0 to 17,48,2.29
21,2020-04-04,18 to 40,1785,55.22
22,2020-04-04,41 to 65,2160,68.58
23,2020-04-04,over 65,1050,89.55
24,2020-04-05,0 to 17,57,2.72
25,2020-04-05,18 to 40,1989,61.54
26,2020-04-05,41 to 65,2451,77.82
27,2020-04-05,over 65,1156,98.59
28,2020-04-06,0 to 17,59,2.81
29,2020-04-06,18 to 40,2072,64.1
30,2020-04-06,41 to 65,2650,84.14
31,2020-04-06,over 65,1278,108.99
32,2020-04-07,0 to 17,73,3.48
33,2020-04-07,18 to 40,2246,69.49
34,2020-04-07,41 to 65,2892,91.82
35,2020-04-07,over 65,1364,116.33
36,2020-04-08,0 to 17,80,3.81
37,2020-04-08,18 to 40,2409,74.53
38,2020-04-08,41 to 65,3170,100.65
39,2020-04-08,over 65,1499,127.84
40,2020-04-09,0 to 17,81,3.86
41,2020-04-09,18 to 40,2491,77.07
42,2020-04-09,41 to 65,3363,106.78
43,2020-04-09,over 65,1608,137.14
44,2020-04-10,0 to 17,84,4.01
45,2020-04-10,18 to 40,2617,80.96
46,2020-04-10,41 to 65,3561,113.06
47,2020-04-10,over 65,1730,147.54
48,2020-04-11,0 to 17,91,4.34
49,2020-04-11,18 to 40,2726,84.34
50,2020-04-11,41 to 65,3744,118.88
