,Date,Region,Cases,Case Rate,dt[Cases],dt[Case Rate]
0,2020-03-30,Angeles Forest,0,0.0,,
1,2020-03-30,Antelope Valley,36,3.9,,
2,2020-03-30,Central LA,403,45.64,,
3,2020-03-30,Eastside,27,7.88,,
4,2020-03-30,Harbor,186,13.44,,
5,2020-03-30,Northeast LA,25,14.83,,
6,2020-03-30,Northwest County,44,15.54,,
7,2020-03-30,Pomona Valley,8,3.5,,
8,2020-03-30,San Fernando Valley,347,21.6,,
9,2020-03-30,San Gabriel Valley,93,6.3,,
10,2020-03-30,Santa Monica Mountains,20,29.23,,
11,2020-03-30,South Bay,213,27.46,,
12,2020-03-30,South LA,91,10.79,,
13,2020-03-30,Southeast,156,12.25,,
14,2020-03-30,Verdugos,94,15.13,,
15,2020-03-30,Westside,310,55.09,,
16,2020-03-31,Angeles Forest,0,0.0,0,0.0
17,2020-03-31,Antelope Valley,45,6.06,9,2.1599999999999997
18,2020-03-31,Central LA,470,53.29,67,7.649999999999999
19,2020-03-31,Eastside,32,10.34,5,2.46
20,2020-03-31,Harbor,219,15.74,33,2.3000000000000007
21,2020-03-31,Northeast LA,30,17.8,5,2.9700000000000006
22,2020-03-31,Northwest County,51,18.2,7,2.66
23,2020-03-31,Pomona Valley,14,6.13,6,2.63
24,2020-03-31,San Fernando Valley,410,25.27,63,3.669999999999998
25,2020-03-31,San Gabriel Valley,115,7.79,22,1.4900000000000002
26,2020-03-31,Santa Monica Mountains,24,35.08,4,5.849999999999998
27,2020-03-31,South Bay,261,33.64,48,6.18
28,2020-03-31,South LA,147,17.44,56,6.650000000000002
29,2020-03-31,Southeast,201,16.01,45,3.7600000000000016
30,2020-03-31,Verdugos,131,21.08,37,5.9499999999999975
31,2020-03-31,Westside,357,63.44,47,8.349999999999994
32,2020-04-01,Angeles Forest,0,0.0,0,0.0
33,2020-04-01,Antelope Valley,50,7.79,5,1.7300000000000004
34,2020-04-01,Central LA,547,62.37,77,9.079999999999998
35,2020-04-01,Eastside,40,12.31,8,1.9700000000000006
36,2020-04-01,Harbor,249,28.2,30,12.459999999999999
37,2020-04-01,Northeast LA,36,21.36,6,3.5599999999999987
38,2020-04-01,Northwest County,53,18.95,2,0.75
39,2020-04-01,Pomona Valley,18,7.88,4,1.75
40,2020-04-01,San Fernando Valley,487,30.0,77,4.73
