,Date,Cases,Hospitalizations,Deaths,Test Results,% Positive Tests
0,2020-03-30,2474,492,44,,
1,2020-03-31,3011,594,54,,
2,2020-04-01,3518,733,65,,
3,2020-04-02,4045,879,78,,
4,2020-04-03,4566,1018,89,,
5,2020-04-04,5277,1168,117,,
6,2020-04-05,5940,1257,132,,
7,2020-04-06,6360,1366,147,,
8,2020-04-07,6910,1510,169,,
9,2020-04-08,7530,1714,198,,
10,2020-04-09,7955,1894,223,,
11,2020-04-10,8430,2043,241,,
12,2020-04-11,8873,2172,265,45000,14
13,2020-04-12,9192,2246,296,47000,14
14,2020-04-13,9420,2354,320,52000,13
15,2020-04-14,10047,2517,360,63000,11
16,2020-04-15,10496,2704,402,67500,11
17,2020-04-16,10854,2847,455,70000,11
18,2020-04-17,11397,3014,495,74000,14
19,2020-04-18,12021,3280,576,76000,14
20,2020-04-19,12341,3387,600,79000,15
21,2020-04-20,13816,3465,617,80500,13
22,2020-04-21,15140,3639,663,89000,14
23,2020-04-22,16435,3902,729,91000,15
24,2020-04-23,17508,4053,797,99000,14
25,2020-04-24,18517,4211,848,108000,15
26,2020-04-25,19107,4319,895,114000,15
27,2020-04-26,19528,4380,913,117000,14
28,2020-04-27,20417,4403,942,124000,14
29,2020-04-28,20976,4507,1000,133000,14
30,2020-04-29,22485,4715,1056,139000,14
31,2020-04-30,23182,4813,1111,146000,14
32,2020-05-01,24215,4880,1172,152000,14
33,2020-05-02,24894,4956,1209,158000,14
34,2020-05-03,25662,4986,1229,159000,14
35,2020-05-04,26217,5019,1256,173000,13
36,2020-05-05,27815,5081,1313,183000,13
37,2020-05-06,28644,5142,1367,192000,13
38,2020-05-07,29427,5238,1418,208000,12
39,2020-05-08,30296,5298,1468,215000,12
40,2020-05-09,31197,5363,1512,227000,12
41,2020-05-10,31677,5410,1530,245000,11
42,2020-05-11,32258,5437,1569,240000,12
43,2020-05-12,33180,5508,1613,253000,11
44,2020-05-13,34428,5596,1659,264000,11
45,2020-05-14,35329,5660,1709,272000,11
46,2020-05-15,36259,5727,1755,282000,11
47,2020-05-16,37303,5784,1793,298000,11
48,2020-05-17,37974,5816,1821,309000,11
49,2020-05-18,38451,5835,1839,350000,9
50,2020-05-19,39573,5914,1913,359000,9
51,2020-05-20,40857,5966,1970,380000,9
52,2020-05-21,42037,6026,2016,403000,9
53,2020-05-22,43052,6093,2049,412000,9
54,2020-05-23,44055,6159,2090,436000,9
55,2020-05-24,44988,6177,2104,465000,8
56,2020-05-25,46018,6190,2116,490000,8
57,2020-05-26,47822,6195,2143,514000,8
58,2020-05-27,48700,6283,2195,517000,8
59,2020-05-28,49774,6350,2241,531000,8
60,2020-05-29,51562,6430,2241,564000,8
61,2020-05-30,53651,6486,2338,580000,8
62,2020-05-31,54996,6514,2362,598000,8
63,2020-06-01,55968,6528,2384,612000,8
64,2020-06-02,57118,6638,2443,633000,8
65,2020-06-03,58234,6680,2489,646000,8
66,2020-06-04,59650,6767,2531,659000,8
67,2020-06-05,61045,6833,2565,672000,8
68,2020-06-06,62338,6899,2620,682000,8
69,2020-06-07,63844,6911,2645,696000,8
70,2020-06-08,64644,6923,2655,708000,8
71,2020-06-09,65822,6998,2707,720000,8
72,2020-06-10,67064,7097,2768,732000,8
73,2020-06-11,68875,7190,2813,746000,8
74,2020-06-12,70476,7250,2832,761000,8
75,2020-06-13,72023,7329,2890,768000,9
76,2020-06-14,73018,7336,2907,803000,8
77,2020-06-15,73791,7337,2926,825000,8
78,2020-06-16,75084,7400,2959,841000,8
79,2020-06-17,77189,7481,2991,854000,8
80,2020-06-18,78227,7563,3027,868000,8
