,Date,Race/Ethnicity,Cases,Deaths
370,2020-03-30,American Indian/Alaska Native,,
0,2020-03-30,Asian,,
74,2020-03-30,Black,,
148,2020-03-30,Hispanic/Latino,,
444,2020-03-30,Native Hawaiian/Pacific Islander,,
296,2020-03-30,Other,,
222,2020-03-30,White,,
371,2020-03-31,American Indian/Alaska Native,,
1,2020-03-31,Asian,,
75,2020-03-31,Black,,
149,2020-03-31,Hispanic/Latino,,
445,2020-03-31,Native Hawaiian/Pacific Islander,,
297,2020-03-31,Other,,
223,2020-03-31,White,,
372,2020-04-01,American Indian/Alaska Native,,
2,2020-04-01,Asian,,
76,2020-04-01,Black,,
150,2020-04-01,Hispanic/Latino,,
446,2020-04-01,Native Hawaiian/Pacific Islander,,
298,2020-04-01,Other,,
224,2020-04-01,White,,
373,2020-04-02,American Indian/Alaska Native,,
3,2020-04-02,Asian,,
77,2020-04-02,Black,,
151,2020-04-02,Hispanic/Latino,,
447,2020-04-02,Native Hawaiian/Pacific Islander,,
299,2020-04-02,Other,,
225,2020-04-02,White,,
374,2020-04-03,American Indian/Alaska Native,,
4,2020-04-03,Asian,,
78,2020-04-03,Black,,
152,2020-04-03,Hispanic/Latino,,
448,2020-04-03,Native Hawaiian/Pacific Islander,,
300,2020-04-03,Other,,
226,2020-04-03,White,,
375,2020-04-04,American Indian/Alaska Native,,
5,2020-04-04,Asian,,
79,2020-04-04,Black,,
153,2020-04-04,Hispanic/Latino,,
449,2020-04-04,Native Hawaiian/Pacific Islander,,
301,2020-04-04,Other,,
227,2020-04-04,White,,
376,2020-04-05,American Indian/Alaska Native,,
6,2020-04-05,Asian,,
80,2020-04-05,Black,,
154,2020-04-05,Hispanic/Latino,,
450,2020-04-05,Native Hawaiian/Pacific Islander,,
302,2020-04-05,Other,,
228,2020-04-05,White,,
377,2020-04-06,American Indian/Alaska Native,,
7,2020-04-06,Asian,,
81,2020-04-06,Black,,
155,2020-04-06,Hispanic/Latino,,
451,2020-04-06,Native Hawaiian/Pacific Islander,,
303,2020-04-06,Other,,
229,2020-04-06,White,,
378,2020-04-07,American Indian/Alaska Native,,
8,2020-04-07,Asian,316,
82,2020-04-07,Black,283,
156,2020-04-07,Hispanic/Latino,735,
452,2020-04-07,Native Hawaiian/Pacific Islander,,
304,2020-04-07,Other,693,
230,2020-04-07,White,870,
379,2020-04-08,American Indian/Alaska Native,,
9,2020-04-08,Asian,334,
83,2020-04-08,Black,301,
157,2020-04-08,Hispanic/Latino,807,
453,2020-04-08,Native Hawaiian/Pacific Islander,,
305,2020-04-08,Other,747,
231,2020-04-08,White,872,
380,2020-04-09,American Indian/Alaska Native,,
10,2020-04-09,Asian,463,32
84,2020-04-09,Black,384,23
158,2020-04-09,Hispanic/Latino,1309,46
454,2020-04-09,Native Hawaiian/Pacific Islander,,
306,2020-04-09,Other,707,6
232,2020-04-09,White,1161,46
381,2020-04-10,American Indian/Alaska Native,,
11,2020-04-10,Asian,526,38
85,2020-04-10,Black,429,26
159,2020-04-10,Hispanic/Latino,1621,51
455,2020-04-10,Native Hawaiian/Pacific Islander,,
307,2020-04-10,Other,655,7
233,2020-04-10,White,1292,54
382,2020-04-11,American Indian/Alaska Native,,
12,2020-04-11,Asian,589,40
86,2020-04-11,Black,460,27
160,2020-04-11,Hispanic/Latino,1869,64
456,2020-04-11,Native Hawaiian/Pacific Islander,,
308,2020-04-11,Other,661,6
234,2020-04-11,White,1399,64
383,2020-04-12,American Indian/Alaska Native,,
13,2020-04-12,Asian,632,46
87,2020-04-12,Black,478,33
161,2020-04-12,Hispanic/Latino,2025,79
457,2020-04-12,Native Hawaiian/Pacific Islander,,
309,2020-04-12,Other,670,5
235,2020-04-12,White,1445,77
384,2020-04-13,American Indian/Alaska Native,,
14,2020-04-13,Asian,673,47
88,2020-04-13,Black,504,37
162,2020-04-13,Hispanic/Latino,2213,87
458,2020-04-13,Native Hawaiian/Pacific Islander,,
310,2020-04-13,Other,681,4
236,2020-04-13,White,1524,87
385,2020-04-14,American Indian/Alaska Native,,
15,2020-04-14,Asian,713,49
89,2020-04-14,Black,539,46
163,2020-04-14,Hispanic/Latino,2416,98
459,2020-04-14,Native Hawaiian/Pacific Islander,,
311,2020-04-14,Other,747,6
237,2020-04-14,White,1610,93
386,2020-04-15,American Indian/Alaska Native,,
16,2020-04-15,Asian,756,57
90,2020-04-15,Black,563,50
164,2020-04-15,Hispanic/Latino,2634,112
460,2020-04-15,Native Hawaiian/Pacific Islander,,
312,2020-04-15,Other,766,8
238,2020-04-15,White,1732,103
387,2020-04-16,American Indian/Alaska Native,,
17,2020-04-16,Asian,783,67
91,2020-04-16,Black,590,64
165,2020-04-16,Hispanic/Latino,2818,130
461,2020-04-16,Native Hawaiian/Pacific Islander,,
313,2020-04-16,Other,766,10
239,2020-04-16,White,1807,119
388,2020-04-17,American Indian/Alaska Native,,
18,2020-04-17,Asian,844,75
92,2020-04-17,Black,630,69
166,2020-04-17,Hispanic/Latino,3066,146
462,2020-04-17,Native Hawaiian/Pacific Islander,,
314,2020-04-17,Other,790,12
240,2020-04-17,White,1903,123
389,2020-04-18,American Indian/Alaska Native,,
19,2020-04-18,Asian,900,84
93,2020-04-18,Black,669,79
167,2020-04-18,Hispanic/Latino,3353,177
463,2020-04-18,Native Hawaiian/Pacific Islander,,
315,2020-04-18,Other,817,15
241,2020-04-18,White,1982,143
390,2020-04-19,American Indian/Alaska Native,,
20,2020-04-19,Asian,915,91
94,2020-04-19,Black,687,83
168,2020-04-19,Hispanic/Latino,3402,189
464,2020-04-19,Native Hawaiian/Pacific Islander,,
316,2020-04-19,Other,884,13
242,2020-04-19,White,2022,152
391,2020-04-20,American Indian/Alaska Native,,
21,2020-04-20,Asian,953,94
95,2020-04-20,Black,720,87
169,2020-04-20,Hispanic/Latino,3597,194
465,2020-04-20,Native Hawaiian/Pacific Islander,,
317,2020-04-20,Other,899,14
243,2020-04-20,White,2071,155
