Area,"New cases, 14-day avg","New cases, 14-day avg per 100k","Adjusted new cases, 14-day avg",Unstable adjusted case rate,Population
City of Agoura Hills,10.0,47.86,48.93,False,20883
City of Alhambra,72.07,83.07,83.43,False,86724
City of Arcadia,25.0,43.29,44.86,False,57754
City of Artesia,15.36,91.43,88.93,False,16795
City of Avalon,0.14,3.71,2.21,True,3869
City of Azusa,56.71,113.36,114.64,False,50040
City of Baldwin Park,135.29,176.21,174.43,False,76769
City of Bell,64.36,177.14,178.29,False,36332
City of Bell Gardens,70.07,162.71,164.21,False,43071
City of Bellflower,98.0,126.07,124.43,False,77735
City of Beverly Hills,20.43,59.21,60.57,False,34520
City of Bradbury,0.07,6.71,10.29,True,1069
City of Burbank,80.36,75.0,73.79,False,107180
City of Calabasas,12.0,49.36,48.57,False,24323
City of Carson,97.21,103.57,101.21,False,93846
City of Cerritos,31.07,62.07,61.79,False,50067
City of Claremont,21.93,60.07,65.57,False,36484
City of Commerce,20.29,155.21,154.43,False,13069
City of Compton,158.21,158.36,159.57,False,99904
City of Covina,57.36,117.0,117.14,False,49032
City of Cudahy,44.93,184.5,183.57,False,24347
City of Culver City,22.07,55.36,55.29,False,39865
City of Diamond Bar,29.64,51.57,50.64,False,57515
City of Downey,144.86,126.79,124.36,False,114263
City of Duarte,22.14,100.57,97.14,False,22016
City of El Monte,154.14,131.43,129.86,False,117269
City of El Segundo,8.0,47.64,50.07,False,16786
City of Gardena,61.0,99.5,99.29,False,61310
City of Glendale,192.93,93.43,89.64,False,206493
City of Glendora,44.57,84.5,84.64,False,52764
City of Hawaiian Gardens,20.14,137.29,136.86,False,14676
City of Hawthorne,116.86,131.64,131.0,False,88787
City of Hermosa Beach,9.21,46.86,47.79,False,19670
City of Hidden Hills,1.29,68.0,100.79,True,1890
City of Huntington Park,103.79,174.5,173.57,False,59484
City of Industry,1.0,228.86,255.93,True,437
City of Inglewood,141.14,124.29,122.57,False,113582
City of Irwindale,1.93,132.21,129.0,False,1459
City of La Canada Flintridge,6.36,30.71,41.57,False,20693
City of La Habra Heights,0.21,3.93,2.14,True,5455
City of La Mirada,37.21,75.0,74.36,False,49599
City of La Puente,59.43,146.0,142.86,False,40697
City of La Verne,28.43,85.43,87.36,False,33282
City of Lakewood,74.14,92.29,92.57,False,80362
City of Lancaster,194.07,120.14,119.86,False,161570
City of Lawndale,39.0,116.0,111.14,False,33614
City of Lomita,15.21,73.43,75.79,False,20729
City of Lynwood,121.93,169.21,170.36,False,72047
City of Malibu,2.93,22.57,25.0,False,12961
City of Manhattan Beach,10.5,29.14,29.07,False,35999
City of Maywood,47.21,168.36,168.86,False,28049
City of Monrovia,33.57,86.5,86.86,False,38800
City of Montebello,85.71,133.14,132.57,False,64375
City of Monterey Park,50.5,81.14,82.79,False,62262
City of Norwalk,153.71,142.86,139.93,False,107622
City of Palmdale,239.86,150.86,152.79,False,158968
