Area,Cases,Case rate,Deaths,Death rate,CF Outbreak
City of Agoura Hills,946,4530.0,13,62.0,False
City of Alhambra,6561,7565.0,172,198.0,False
City of Arcadia,2547,4410.0,101,175.0,False
City of Artesia,1943,11569.0,52,310.0,False
City of Avalon,14,362.0,0,0.0,False
City of Azusa,6040,12070.0,97,194.0,False
City of Baldwin Park,12663,16495.0,248,323.0,False
City of Bell,6515,17932.0,91,250.0,False
City of Bell Gardens,7977,18521.0,88,204.0,False
City of Bellflower,10233,13164.0,159,205.0,False
City of Beverly Hills,2404,6964.0,28,81.0,False
City of Bradbury,34,3181.0,0,0.0,False
City of Burbank,8079,7538.0,194,181.0,False
City of Calabasas,1111,4568.0,27,111.0,False
City of Carson,8881,9463.0,200,213.0,False
City of Cerritos,2834,5660.0,41,82.0,False
City of Claremont,2164,5931.0,47,129.0,False
City of Commerce,2318,17737.0,34,260.0,True
City of Compton,16131,16147.0,187,187.0,False
City of Covina,6172,12588.0,130,265.0,False
City of Cudahy,4624,18992.0,48,197.0,False
City of Culver City,2052,5147.0,77,193.0,False
City of Diamond Bar,3058,5317.0,51,89.0,False
City of Downey,16770,14677.0,233,204.0,False
City of Duarte,2212,10047.0,75,341.0,False
City of El Monte,16681,14225.0,360,307.0,False
City of El Segundo,630,3753.0,5,30.0,False
City of Gardena,5949,9703.0,145,237.0,False
City of Glendale,18186,8807.0,506,245.0,False
City of Glendora,4532,8589.0,143,271.0,False
City of Hawaiian Gardens,2137,14561.0,7,48.0,False
City of Hawthorne,9804,11042.0,164,185.0,False
City of Hermosa Beach,876,4453.0,10,51.0,False
City of Hidden Hills,78,4127.0,2,106.0,False
City of Huntington Park,10820,18190.0,138,232.0,False
City of Industry,165,37757.0,4,915.0,False
City of Inglewood,12867,11328.0,256,225.0,False
City of Irwindale,246,16861.0,4,274.0,False
City of La Canada Flintridge,691,3339.0,15,72.0,False
City of La Habra Heights,99,1815.0,1,18.0,False
City of La Mirada,4014,8093.0,85,171.0,False
City of La Puente,6439,15822.0,89,219.0,False
City of La Verne,2687,8073.0,42,126.0,False
City of Lakewood,6803,8465.0,63,78.0,False
City of Lancaster,20770,12855.0,230,142.0,True
City of Lawndale,3301,9820.0,41,122.0,False
City of Lomita,1309,6315.0,21,101.0,False
City of Lynwood,12774,17730.0,197,273.0,True
City of Malibu,338,2608.0,6,46.0,False
City of Manhattan Beach,1182,3283.0,14,39.0,False
City of Maywood,5023,17908.0,75,267.0,False
City of Monrovia,3039,7832.0,64,165.0,False
City of Montebello,9804,15230.0,165,256.0,False
City of Monterey Park,4591,7374.0,158,254.0,False
City of Norwalk,15376,14287.0,275,256.0,False
City of Palmdale,23342,14683.0,257,162.0,False
City of Palos Verdes Estates,380,2810.0,7,52.0,False
City of Paramount,9523,16998.0,111,198.0,False
City of Pico Rivera,10648,16564.0,216,336.0,False
City of Pomona,23589,15128.0,350,224.0,False
City of Rancho Palos Verdes,1288,3013.0,45,105.0,False
City of Redondo Beach,2483,3614.0,27,39.0,False
City of Rolling Hills,46,2371.0,0,0.0,False
City of Rolling Hills Estates,241,2971.0,8,99.0,False
City of Rosemead,4705,8500.0,108,195.0,False
City of San Dimas,3023,8758.0,73,211.0,True
City of San Fernando,5030,20437.0,53,215.0,False
City of San Gabriel,3070,7496.0,172,420.0,False
City of San Marino,352,2651.0,10,75.0,False
City of Santa Clarita,18650,8461.0,212,96.0,False
City of Santa Fe Springs,2694,14670.0,34,185.0,False
City of Santa Monica,4215,4559.0,130,141.0,False
City of Sierra Madre,441,4013.0,11,100.0,False
City of Signal Hill,1078,9138.0,9,76.0,False
City of South El Monte,3312,15858.0,51,244.0,False
City of South Gate,17953,18290.0,181,184.0,False
City of South Pasadena,1246,4783.0,39,150.0,False
City of Temple City,2250,6172.0,97,266.0,False
City of Torrance,6534,4377.0,159,107.0,False
City of Vernon,125,59809.0,1,478.0,False
City of Walnut,1683,5512.0,32,105.0,False
City of West Covina,12258,11325.0,191,176.0,False
City of West Hollywood,2074,5613.0,28,76.0,False
City of Westlake Village,100,1196.0,0,0.0,False
