Area,Region,Population,CF Outbreak,Cases,Case rate,"New cases, 14-day avg","New cases, 14-day avg per 100k",Deaths,Death rate
City of Agoura Hills,San Fernando,20883.0,False,1099,5263,2.14,10.29,19,91
City of Alhambra,San Gabriel,86724.0,False,7026,8102,6.43,7.43,211,243
City of Arcadia,San Gabriel,57754.0,False,2846,4928,5.71,9.93,142,246
City of Artesia,East,16795.0,False,2114,12587,1.71,10.21,73,435
City of Avalon,South Bay,3869.0,False,19,491,0.21,5.5,0,0
City of Azusa,San Gabriel,50040.0,False,6407,12804,3.86,7.71,119,238
City of Baldwin Park,San Gabriel,76769.0,False,13278,17296,4.36,5.64,315,410
City of Bell,East,36332.0,False,6854,18865,2.5,6.86,120,330
City of Bell Gardens,East,43071.0,False,8441,19598,2.93,6.79,112,260
City of Bellflower,East,77735.0,False,11024,14182,10.36,13.36,198,255
City of Beverly Hills,West,34520.0,False,2900,8401,10.79,31.29,33,96
City of Bradbury,San Gabriel,1069.0,False,39,3648,0.0,0.0,0,0
City of Burbank,San Fernando,107180.0,False,9266,8645,16.64,15.5,244,228
City of Calabasas,San Fernando,24323.0,False,1360,5591,3.86,15.86,33,136
City of Carson,South Bay,93846.0,False,10130,10794,12.14,12.93,252,269
City of Cerritos,East,50067.0,False,3152,6296,3.36,6.71,58,116
City of Claremont,San Gabriel,36484.0,False,2335,6400,2.5,6.86,55,151
City of Commerce,East,13069.0,True,2417,18494,0.71,5.43,39,298
City of Compton,South,99904.0,False,17449,17466,14.43,14.43,242,242
City of Covina,San Gabriel,49032.0,False,6511,13279,3.57,7.29,165,337
City of Cudahy,East,24347.0,False,4847,19908,1.21,5.0,61,251
City of Culver City,West,39865.0,False,2329,5842,5.43,13.57,110,276
City of Diamond Bar,San Gabriel,57515.0,False,3337,5802,3.43,5.93,86,150
City of Downey,East,114263.0,False,17865,15635,13.14,11.5,298,261
City of Duarte,San Gabriel,22016.0,False,2357,10706,1.93,8.79,97,441
City of El Monte,San Gabriel,117269.0,False,17393,14832,7.64,6.57,435,371
City of El Segundo,South Bay,16786.0,False,785,4677,2.5,14.93,6,36
City of Gardena,South Bay,61310.0,False,6576,10726,8.86,14.43,197,321
City of Glendale,San Fernando,206493.0,False,20751,10049,29.43,14.21,633,307
City of Glendora,San Gabriel,52764.0,False,4923,9330,4.0,7.57,179,339
City of Hawaiian Gardens,East,14676.0,False,2270,15467,0.86,5.79,24,164
City of Hawthorne,South Bay,88787.0,False,10840,12209,11.64,13.14,209,235
City of Hermosa Beach,South Bay,19670.0,False,1083,5506,3.5,17.79,10,51
City of Hidden Hills,San Fernando,1890.0,False,97,5132,0.36,18.86,2,106
City of Huntington Park,East,59484.0,False,11349,19079,3.79,6.36,171,287
City of Industry,San Gabriel,437.0,False,174,39817,0.0,0.0,6,1373
City of Inglewood,South Bay,113582.0,False,14235,12533,24.57,21.64,311,274
City of Irwindale,San Gabriel,1459.0,False,257,17615,0.21,14.71,7,480
City of La Canada Flintridge,San Fernando,20693.0,False,802,3876,2.07,10.0,17,82
City of La Habra Heights,San Gabriel,5455.0,False,121,2218,0.29,5.21,2,37
City of La Mirada,East,49599.0,False,4394,8859,4.43,8.93,116,234
City of La Puente,San Gabriel,40697.0,False,6771,16638,2.93,7.21,120,295
City of La Verne,San Gabriel,33282.0,False,2956,8882,2.07,6.21,49,147
City of Lakewood,South Bay,80362.0,False,7557,9404,10.71,13.36,101,126
City of Lancaster,Antelope Valley,161570.0,True,23002,14237,25.07,15.57,287,178
City of Lawndale,South Bay,33614.0,False,3713,11046,4.71,14.0,54,161
City of Lomita,South Bay,20729.0,False,1539,7424,1.36,6.5,37,178
City of Long Beach,South Bay,,False,54471,11655,54.43,11.64,948,203
City of Lynwood,South,72047.0,True,13508,18749,7.36,10.21,240,333
City of Malibu,West,12961.0,False,480,3703,1.86,14.29,8,62
City of Manhattan Beach,South Bay,35999.0,False,1471,4086,5.5,15.29,17,47
City of Maywood,East,28049.0,False,5273,18799,1.57,5.57,92,328
City of Monrovia,San Gabriel,38800.0,False,3262,8407,2.79,7.14,79,204
City of Montebello,East,64375.0,False,10329,16045,5.14,8.0,220,342
City of Monterey Park,San Gabriel,62262.0,False,4903,7875,3.14,5.07,194,312
City of Norwalk,East,107622.0,False,16378,15218,9.29,8.64,376,349
City of Palmdale,Antelope Valley,158968.0,False,25302,15916,21.57,13.57,312,196
City of Palos Verdes Estates,South Bay,13522.0,False,512,3786,1.43,10.5,9,67
City of Paramount,South Bay,56023.0,False,10113,18052,6.14,11.0,154,275
City of Pasadena,San Gabriel,,False,11558,8175,13.29,9.4,351,248
City of Pico Rivera,East,64284.0,False,11300,17578,5.21,8.07,271,422
City of Pomona,San Gabriel,155931.0,False,24808,15910,16.43,10.57,463,297
City of Rancho Palos Verdes,South Bay,42747.0,False,1613,3773,3.36,7.86,58,136
City of Redondo Beach,South Bay,68697.0,False,3041,4427,8.93,13.0,50,73
City of Rolling Hills,South Bay,1940.0,False,60,3093,0.07,3.71,2,103
City of Rolling Hills Estates,South Bay,8113.0,False,306,3772,0.93,11.5,8,99
City of Rosemead,San Gabriel,55350.0,False,5030,9088,3.64,6.64,149,269
City of San Dimas,San Gabriel,34516.0,True,3308,9584,2.64,7.64,93,269
City of San Fernando,San Fernando,24612.0,False,5355,21758,2.93,11.93,66,268
City of San Gabriel,San Gabriel,40954.0,False,3308,8077,2.64,6.43,205,501
City of San Marino,San Gabriel,13277.0,False,395,2975,0.43,3.21,10,75
City of Santa Clarita,San Fernando,220424.0,False,21238,9635,33.0,15.0,266,121
City of Santa Fe Springs,East,18364.0,False,2928,15944,2.14,11.64,38,207
City of Santa Monica,West,92446.0,False,5132,5551,15.71,17.0,183,198
City of Sierra Madre,San Gabriel,10989.0,False,493,4486,1.0,9.07,13,118
City of Signal Hill,East,11797.0,False,1176,9969,2.14,18.21,8,68
City of South El Monte,San Gabriel,20885.0,False,3462,16576,1.43,6.79,66,316
City of South Gate,East,98155.0,False,18930,19286,10.5,10.71,233,237
City of South Pasadena,San Gabriel,26053.0,False,1357,5209,1.43,5.5,40,154
City of Temple City,San Gabriel,36455.0,False,2405,6597,1.14,3.14,121,332
City of Torrance,South Bay,149268.0,False,7716,5169,11.14,7.43,221,148
City of Vernon,East,209.0,False,125,59809,0.07,34.21,0,0
City of Walnut,San Gabriel,30532.0,False,1801,5899,1.64,5.43,38,124
City of West Covina,San Gabriel,108235.0,False,13156,12155,11.64,10.79,267,247
City of West Hollywood,San Fernando,36951.0,False,2622,7096,14.86,40.21,39,106
City of Westlake Village,San Fernando,8360.0,False,123,1471,0.43,5.07,1,12
City of Whittier,East,87432.0,False,11318,12945,6.79,7.79,246,281
Los Angeles - Adams-Normandie,South,8202.0,False,1220,14874,0.64,7.79,18,219
