Area,Cases,Case rate,Deaths,Death rate,CF Outbreak
City of Agoura Hills,1014,4856,18,86,False
City of Alhambra,6767,7803,198,228,False
City of Arcadia,2660,4606,128,222,False
City of Artesia,2043,12164,69,411,False
City of Avalon,16,414,0,0,False
City of Azusa,6223,12436,113,226,False
City of Baldwin Park,13000,16934,290,378,False
City of Bell,6705,18455,113,311,False
City of Bell Gardens,8238,19127,108,251,False
City of Bellflower,10578,13608,191,246,False
City of Beverly Hills,2611,7564,32,93,False
City of Bradbury,35,3274,0,0,False
City of Burbank,8673,8092,233,217,False
City of Calabasas,1217,5003,32,132,False
City of Carson,9469,10090,235,250,False
City of Cerritos,2993,5978,55,110,False
City of Claremont,2230,6112,52,143,False
City of Commerce,2384,18242,39,298,True
City of Compton,16740,16756,221,221,False
City of Covina,6333,12916,154,314,False
City of Cudahy,4735,19448,59,242,False
City of Culver City,2164,5428,104,261,False
City of Diamond Bar,3182,5532,78,136,False
City of Downey,17296,15137,285,249,False
City of Duarte,2288,10392,92,418,False
City of El Monte,17031,14523,416,355,False
City of El Segundo,696,4146,6,36,False
City of Gardena,6182,10083,180,294,False
City of Glendale,19548,9467,588,285,False
City of Glendora,4726,8957,173,328,False
City of Hawaiian Gardens,2207,15038,18,123,False
City of Hawthorne,10276,11574,198,223,False
City of Hermosa Beach,961,4886,10,51,False
City of Hidden Hills,87,4603,2,106,False
City of Huntington Park,11104,18667,164,276,False
City of Industry,168,38444,6,1373,False
City of Inglewood,13348,11752,293,258,False
City of Irwindale,250,17135,5,343,False
City of La Canada Flintridge,745,3600,15,72,False
City of La Habra Heights,110,2016,1,18,False
City of La Mirada,4198,8464,110,222,False
City of La Puente,6623,16274,112,275,False
City of La Verne,2825,8488,50,150,False
City of Lakewood,7156,8905,92,114,False
City of Lancaster,21636,13391,268,166,True
City of Lawndale,3520,10472,53,158,False
City of Lomita,1433,6913,28,135,False
City of Lynwood,13171,18281,226,314,True
City of Malibu,398,3071,7,54,False
City of Manhattan Beach,1287,3575,18,50,False
City of Maywood,5161,18400,84,299,False
City of Monrovia,3129,8064,74,191,False
City of Montebello,10053,15616,203,315,False
City of Monterey Park,4751,7631,186,299,False
City of Norwalk,15904,14778,347,322,False
City of Palmdale,24157,15196,299,188,False
City of Palos Verdes Estates,438,3239,9,67,False
