Setting Name,Address,Total Confirmed Staff,Total Confirmed Students
Amir Family Child Care,"5218 Sylmar Ave, Sherman Oaks, CA, 91401",3,6
"Antelope Valley College, CTE Cohort","3041 W Avenue K, Lancaster, CA, 93536",2,3
"Antelope Valley College, Nursing","3041 W Avenue K, Lancaster, CA, 93536",2,9
Arcadia High School,"180 Campus Dr, Arcadia, CA, 91007",3,0
Baldwin Park Unified School District Office,"3699 Holly Ave, Baldwin Park, CA, 91706",20,0
Barahona Family Child Care,"1819 W Adams Blvd, Los Angeles, CA, 90018",2,1
Bellflower II Child Development Center,"14523 Bellflower Blvd, Bellflower, CA, 90706",2,2
Blessed Sacrament School,"6641 W Sunset Blvd, Los Angeles, CA, 90028",3,0
Bright Horizons at The Water Garden,"1620 26th St Ste 1020n, Santa Monica, CA, 90404",4,7
"Bruin Plate, UCLA","350 Charles E Young Dr W, Los Angeles, CA, 90024",8,0
"Campus Residential, USC TC","3025 Royal St, Los Angeles, CA, 90007",6,0
"Canyon View School, McKinley Schools","180 Via Verde, Suite 200, San Dimas, CA, 91773",2,1
Carrillo Family Child Care,"1227 E 76th St, Los Angeles, CA, 90001",2,2
Child's World School,"6100 Lindley Ave, Encino, CA, 91316",4,4
Cruz Family Childcare,"3741 Military Ave, Los Angeles, CA, 90034",1,2
Curtis School,"15871 Mulholland Dr, Los Angeles, CA, 90049",3,0
Dr Julian Nava Learning Academy Middle School,"1420 E Adams Blvd, Los Angeles, CA, 90011",6,0
Drew Child Development Center,"9200 Maie Ave, Los Angeles, CA, 90002",3,2
Emek Hebrew Academy Day Camp,"15365 Magnolia Blvd, Sherman Oaks, CA, 91403",2,5
Esalante Elementry School,"4443 Live Oak St, Cudahy, CA, 90201",7,0
Fernald Child Care Center,"320 Charles E Young Dr W, Los Angeles, CA, 90024",3,0
"Florence Ave ES, LAUSD","7211 Bell Ave, Los Angeles, CA, 90001",3,0
Fountain Day School,"1128 N Orange Grove Ave, West Hollywood, CA, 90046",1,3
Gladstone High School,"1340 N Enid Ave, Covina, CA, 91722",4,0
Harry Pregerson Child Care Center,"255 E Temple St, Los Angeles, CA, 90012",2,3
"Hart High School, William S. Hart Union High School District","24825 Newhall Ave, Newhall, CA, 91321",7,0
"Hillery T Broadous Elementary, LAUSD","12561 Filmore St, Pacoima, CA, 91331",3,0
Holy Angels School,"360 Campus Dr, Arcadia, CA, 91007",5,3
Holy Martyrs Armenian Preschool,"16617 Parthenia St, North Hills, CA, 91343",6,0
Huntington Park Senior High LAUSD,"6020 Miles Ave, Huntington Park, CA, 90255",5,0
James A Garfield Senior High,"5101 E 6th St, Los Angeles, CA, 90022",10,0
"Jefferson Elementary, Lennox School District","10322 Condon Ave, Inglewood, CA, 90304",10,0
Jim Gilliam Childcare,"4000 S La Brea Ave, Los Angeles, CA, 90008",4,0
"Kadima Day School, West Hills","7011 Shoup Ave, West Hills, CA, 91307",2,4
Kenmore Elementary School,"3823 Kenmore Ave, Baldwin Park, CA, 91706",3,0
"LA City Department of Recreation and Parks, Delano Recreation Center","15100 Erwin St, Van Nuys, CA, 91411",4,3
La Marina Pre -School and Kindergarten,"115 S Sepulveda Blvd, Manhattan Beach, CA, 90266",4,3
LAC + USC Employees Children's Center,"1401 N Mission Rd, Los Angeles, CA, 90033",5,0
LAUSD Procurement Services Support Center,"8525 Rex Rd, Pico Rivera, CA, 90660",43,0
Leona Cox Community School,"18643 Oakmoor St, Santa Clarita, CA, 91351",4,0
Life Pacific University Athletics,"1100 W Covina Blvd, San Dimas, CA, 91773",0,7
