Setting Name,Address,Total Confirmed Staff,Total Confirmed Students
"Off Campus Neighborhood, UCLA Landfair Ave #3","Los Angeles, CA",0,9
"Off Campus Neighborhood, USC W 28th St #5","Los Angeles, CA",0,3
"Pepperdine University, Athletics","24255 PCH, Malibu, CA, 90263",0,7
"Pepperdine University, On-Campus Student Residential","24255 PCH, Malibu, CA, 90263",0,19
"Pepperdine University, On-Campus Student Residential #2","24255 PCH, Malibu, CA, 90263",0,8
The Bilingual Environmental Science Academy,"15108 Studebaker Rd, Norwalk, CA, 90650",2,3
UCLA Athletics 5,"325 Westwood Plz, Los Angeles, CA, 90095",2,5
UCLA Athletics 6,"325 Westwood Plz, Los Angeles, CA, 90095",0,7
Valencia High School,"27801 Dickason Dr, Santa Clarita, CA, 91355",0,6
"William S. Hart High School, Baseball Team","24825 Newhall Ave, Santa Clarita, CA, 91321",0,4
"Willliam S. Hart High School, Dance Team","24825 Newhall Ave, Santa Clarita, CA, 91321",0,3
