Setting Name,Setting Type,Number of Confirmed Staff,Number of Confirmed Non-Staff,Total Deaths
Encampment - Central LA #10,Homeless Encampment,0,1,0
Encampment - East LA #2,Homeless Encampment,0,1,0
Hope of The Valley - A Bridge Home Van Nuys,Homeless Shelter,0,1,0
Hope of The Valley - Pacoima Winter Shelter,Homeless Shelter,0,2,0
Hope of The Valley - The Landing,Homeless Shelter,0,1,0
Salvation Army Bell Shelter,Homeless Shelter,12,34,3
Serenity Recuperative Care - ELA,Recuperative Care Center,0,1,0
Simone Hotel,Single Room Occupancy Housing,1,0,0
Union Rescue Mission,Homeless Shelter,1,2,0
Union Rescue Mission - Hope Gardens Family Center,Homeless Shelter,6,51,0
