Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
"Artistic Coverings, Inc.","14135 Artesia Blvd, Cerritos, CA, 90703",21,0
Auto Club of Southern California - Encino,"17472 Ventura Blvd, Encino, CA, 91316",6,0
Delilah,"7969 Santa Monica Blvd, West Hollywood, CA, 90046",5,0
HomeGoods Burbank,"683 N Victory Blvd, Burbank, CA, 91502",3,0
LAFD Fire Station 35,"1601 Hillhurst Ave, Los Angeles, CA, 90027",4,0
Law Offices of Roxana Muro,"510 W 6th St, #420, Los Angeles, CA, 90014",3,0
LAX Terminal 1 - Southwest Airlines,"100 World Way, Los Angeles, CA, 90045",76,0
LAX Terminal 2 - Delta Airlines,"100 World Way, Los Angeles, CA, 90045",13,0
Northrop Grumman - Palmdale,"3520 E Ave M, Palmdale, CA, 93550",705,0
"ResMed Motor Technologies, Inc.","9541 De Soto Ave, Chatsworth, CA, 91311",5,0
Revco Industries,"10747 Norwalk Blvd, Santa Fe Springs, CA, 90670",3,0
Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",801,0
Smurfit Kappa North America,"440 Baldwin Park Blvd, City of Industry, CA, 91746",6,0
UPS - Compton,"1430 N McKinley Ave, Los Angeles, CA, 90059",10,0
