Setting Name,City,Number of Confirmed Staff,Number of Confirmed Residents,Total Deaths
3rd Ave ARF,"Los Angeles, CA",4,2,0
137th Residential Home,"Hawthorne, CA",0,5,0
218th Street House,"Torrance, CA",2,3,0
A and M 3 Home Care,"Claremont, CA",3,3,0
A Helping Hand South Bay,"Hawthorne, CA",3,3,2
A Step in The Right Direction,"Winnetka, CA",0,3,0
AACRES CA LLC - Nectar,"Lakewood, CA",3,2,0
Abbey Road Villa,"Sylmar, CA",0,16,1
Abel & Davit Hayrapetyan's Community Care Facility,"Arleta, CA",2,2,0
Able & Available Home Care,"Granada Hills, CA",0,2,0
Activities Recreation & Care For Individuals With Developmental Disabilities,"North Hollywood, CA",3,0,0
Adventist Health Glendale - Surgical Unit,"Glendale, CA",1,8,0
Adventist Health White Memorial Medical Center D/P SNF,"Los Angeles, CA",0,1,0
Aegis Living Granada Hills,"Granada Hills, CA",18,24,3
Affinity Healthcare Center,"Paramount, CA",37,11,0
Alameda Care Center,"Burbank, CA",8,6,0
Alcott Rehabilitation Hospital,"Los Angeles, CA",36,55,11
Alderbrook Health Facility,"Lancaster, CA",2,3,1
Alexandria Care Center,"Los Angeles, CA",14,10,1
Alford Home,"San Dimas, CA",7,3,0
Alice's House,"Whittier, CA",2,4,0
Alvarado Care Center (Previously Emerald Terrace Convalescent Hospital),"Los Angeles, CA",25,48,4
Amazing Effort,"Windsor Hills, CA",4,0,0
Ambassador Garden,"Reseda, CA",7,12,1
Ambitions - Devlin Facility,"Lakewood, CA",3,2,0
Ambitions - Hedda Street,"Cerritos, CA",4,3,0
Ambitions - Verdugo House 1,"Burbank, CA",2,0,0
"Anamar Senior Care, Inc.","Northridge, CA",2,3,0
Angels Nursing Health Center,"Los Angeles, CA",17,34,2
Ano One Facility For Elderly,"Panorama City, CA",3,5,1
Antelope Valley Care Center,"Lancaster, CA",51,22,2
Antelope Valley Retirement Villa,"Lancaster, CA",11,26,1
Anza Home Care,"Torrance, CA",0,2,0
Ararat Home of Los Angeles,"Mission Hills, CA",0,2,0
Ararat Nursing Facility,"Mission Hills, CA",73,61,19
Arc's Transitional Housing Program,"Sylmar, CA",2,3,0
Arcadia Gardens Retirement Hotel,"Arcadia, CA",2,0,0
Arcadia Gardens Retirement Hotel (Memory Care Unit),"Arcadia, CA",0,1,0
Arcadia Health Care Center,"Arcadia, CA",35,30,6
Arcadia Retirement Village,"Arcadia, CA",6,2,0
Arcadian Retirement Center,"Arcadia, CA",6,40,9
Artesia Christian Home (RCFE),"Artesia, CA",2,2,0
Artesia Christian Home (SNF),"Artesia, CA",10,2,0
Ashley's Garden Elderly Care,"North Hollywood, CA",0,3,0
Ashnar Home,"Arleta, CA",2,4,0
Astoria Nursing and Rehab Center,"Sylmar, CA",56,61,14
Atherton Baptist Home - Sam B. West (SNF) (1),"Alhambra, CA",27,36,0
Atherton Baptist Home - Sam B. West (SNF) (2),"Alhambra, CA",9,2,0
Atherton Baptist Homes (RCFE),"Alhambra, CA",12,6,0
Atria Covina,"Covina, CA",17,34,0
Atria Santa Clarita,"Santa Clarita, CA",30,30,4
Atria Tarzana,"Tarzana, CA",18,23,6
Auerbach Geriatric Psychiatric Unit,"Reseda, CA",2,2,1
Autumn Hills Health Care Center,"Glendale, CA",27,40,8
Avalon Villa Care Center,"Los Angeles, CA",0,1,0
Ayres Residential Care Home,"Los Angeles, CA",3,2,0
Baldwin Gardens Nursing Center,"Temple City, CA",27,36,1
Beachwood Post Acute & Rehab,"Santa Monica, CA",19,37,5
Beacon of Hope,"Los Angeles, CA",0,3,0
Bel Tooren Villa Convalescent Hospital,"Bellflower, CA",17,14,1
Bell Convalescent Hospital,"Bell, CA",11,15,0
Bell Gardens Manor,"Bell Gardens, CA",5,15,0
Bellflower Post Acute,"Bellflower, CA",26,35,2
Belmont Village Burbank,"Burbank, CA",23,32,8
Belmont Village Calabasas,"Calabasas, CA",55,64,3
Belmont Village Encino,"Sherman Oaks, CA",12,6,1
Belmont Village Hollywood,"Los Angeles, CA",10,3,1
Belmont Village Rancho Palos Verdes,"Rancho Palos Verdes, CA",51,26,3
Belmont Village Westwood,"Los Angeles, CA",61,34,3
Berkley East Convalescent Hospital,"Santa Monica, CA",4,5,0
Berkley Valley Convalescent Hospital (1),"Van Nuys, CA",6,4,0
Berkley Valley Convalescent Hospital (2),"Van Nuys, CA",1,2,0
