Area,People Vaccinated,Percent Vaccinated
City of Agoura Hills,6789,38.9
City of Alhambra,26633,37.3
City of Arcadia,18704,37.7
City of Artesia,4895,35.3
City of Avalon,308,10.3
City of Azusa,10449,26.3
City of Baldwin Park,17077,29.3
City of Bell,5994,22.4
City of Bell Gardens,6554,21.3
City of Bellflower,15769,26.5
City of Beverly Hills,13483,45.5
City of Bradbury,233,25.2
City of Burbank,27626,31.6
City of Calabasas,8439,42.2
City of Carson,26757,35.5
City of Cerritos,19427,44.5
City of Claremont,12313,38.9
City of Commerce,3063,31.3
City of Compton,13217,18.7
City of Covina,13607,35.2
City of Cudahy,3380,19.3
City of Culver City,13819,42.1
City of Diamond Bar,18371,37.8
City of Downey,28380,32.2
City of Duarte,6832,38.7
City of El Monte,25006,28.2
City of El Segundo,4710,33.6
City of Gardena,15886,32.9
City of Glendale,49420,28.5
City of Glendora,15662,36.5
City of Hawaiian Gardens,2263,21.1
City of Hawthorne,16331,24.8
City of Hermosa Beach,5812,35.5
City of Hidden Hills,597,36.6
City of Huntington Park,9607,22.1
City of Industry,,
City of Inglewood,21912,25.4
City of Irwindale,455,37.5
City of La Canada Flintridge,7862,44.2
City of La Habra Heights,943,19.7
City of La Mirada,13455,33.0
City of La Puente,8369,27.0
City of La Verne,10158,36.4
City of Lakewood,22192,34.3
City of Lancaster,25639,21.3
City of Lawndale,6278,24.6
City of Lomita,5294,32.1
City of Long Beach,120298,32.6
City of Lynwood,12081,23.5
City of Malibu,3358,31.4
City of Manhattan Beach,12021,41.8
City of Maywood,4521,22.5
City of Monrovia,10559,34.9
City of Montebello,15539,31.1
City of Monterey Park,20267,39.3
City of Norwalk,24394,29.7
City of Palmdale,27129,23.1
City of Palos Verdes Estates,5091,43.5
City of Paramount,9131,22.5
City of Pasadena,47702,40.5
City of Pico Rivera,16363,33.0
City of Pomona,28193,24.4
City of Rancho Palos Verdes,15585,42.7
City of Redondo Beach,19542,36.0
City of Rolling Hills,696,40.4
City of Rolling Hills Estates,3315,46.7
City of Rosemead,15470,34.7
City of San Dimas,10562,36.3
City of San Fernando,4853,26.0
City of San Gabriel,12309,36.5
City of San Marino,5023,45.1
