Date,Age,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-03-30,0 to 17,37,1.764428735200258,
2020-03-30,18 to 40,918,28.40112787747048,
2020-03-30,41 to 65,943,29.94110841157816,
2020-03-30,over 65,467,39.82759002996877,
2020-03-31,0 to 17,27,1.2875561040650532,
2020-03-31,18 to 40,1101,34.06279062428649,
2020-03-31,41 to 65,1172,37.21206686995716,
2020-03-31,over 65,553,47.16200703762897,
2020-04-01,0 to 17,32,1.5259924196326555,
2020-04-01,18 to 40,1228,37.99192269448121,
2020-04-01,41 to 65,1399,44.419523507738965,
2020-04-01,over 65,669,57.05494160610087,
2020-04-02,0 to 17,36,1.7167414720867373,
2020-04-02,18 to 40,1385,42.84919619858019,
2020-04-02,41 to 65,1630,51.75398378671517,
2020-04-02,over 65,787,67.11844401196022,
2020-04-03,0 to 17,40,1.9074905245408194,
2020-04-03,18 to 40,1538,47.582717511491936,
2020-04-03,41 to 65,1859,59.02494224509417,
2020-04-03,over 65,907,77.35251425520701,
2020-04-04,0 to 17,48,2.2889886294489834,
2020-04-04,18 to 40,1785,55.22441531730371,
2020-04-04,41 to 65,2160,68.58196624497225,
2020-04-04,over 65,1050,89.54811462840944,
2020-04-05,0 to 17,57,2.7181739974706676,
2020-04-05,18 to 40,1989,61.535777067852706,
2020-04-05,41 to 65,2451,77.82148114186434,
2020-04-05,over 65,1156,98.5882100099441,
2020-04-06,0 to 17,59,2.8135485236977087,
2020-04-06,18 to 40,2072,64.10363503498783,
2020-04-06,41 to 65,2650,84.13991229128538,
2020-04-06,over 65,1278,108.99284809057835,
2020-04-07,0 to 17,73,3.481170207286995,
2020-04-07,18 to 40,2246,69.48685535163257,
2020-04-07,41 to 65,2892,91.82363258354617,
2020-04-07,over 65,1364,116.32726509823854,
2020-04-08,0 to 17,80,3.8149810490816387,
2020-04-08,18 to 40,2409,74.52975714251241,
2020-04-08,41 to 65,3170,100.65038564655649,
2020-04-08,over 65,1499,127.84059412189119,
2020-04-09,0 to 17,81,3.8626683121951593,
2020-04-09,18 to 40,2491,77.06667706185073,
2020-04-09,41 to 65,3363,106.77831133418596,
2020-04-09,over 65,1608,137.13654125950703,
2020-04-10,0 to 17,84,4.005730101535721,
2020-04-10,18 to 40,2617,80.96487108424864,
2020-04-10,41 to 65,3561,113.0649915733084,
2020-04-10,over 65,1730,147.54117934014127,
2020-04-11,0 to 17,91,4.339540943330364,
2020-04-11,18 to 40,2726,84.33711829410079,
2020-04-11,41 to 65,3744,118.8754081579519,
2020-04-11,over 65,1848,157.6046817460006,
2020-04-12,0 to 17,95,4.530289995784446,
2020-04-12,18 to 40,2802,86.68840992665827,
2020-04-12,41 to 65,3867,122.78077012467948,
2020-04-12,over 65,1944,165.79193794059805,
2020-04-13,0 to 17,97,4.625664522011487,0.20437398477223065
2020-04-13,18 to 40,2851,88.2043742687019,4.27166045651653
2020-04-13,41 to 65,3949,125.38434476916453,6.817374025541883
2020-04-13,over 65,2032,173.2969227856457,9.533523768262638
2020-04-14,0 to 17,99,4.721039048238528,0.2452487817266768
2020-04-14,18 to 40,2988,92.4428868168647,4.170006870898443
2020-04-14,41 to 65,4211,133.7030832673973,6.892215456960009
2020-04-14,over 65,2191,186.8570658579477,9.978218487165623
