Date,Cases,New cases,"New cases, 7-day avg","New cases, 7-day avg per 100k",Deaths,New deaths,"New deaths, 7-day avg","New deaths, 7-day avg per 100k",Hospitalizations,New hospitalizations,"New hospitalizations, 7-day avg"
2020-03-30,2474,342,,,44,7,,,492,,
2020-03-31,3011,548,,,54,10,,,594,102,
2020-04-01,3518,513,,,65,11,,,733,139,
2020-04-02,4045,534,,,78,13,,,879,146,
2020-04-03,4566,521,,,89,11,,,1018,139,
2020-04-04,5277,711,,,117,28,,,1168,150,
2020-04-05,5940,663,547.4,5.34,132,15,13.6,0.1323,1257,89,
2020-04-06,6360,420,558.6,5.44,147,15,14.7,0.1434,1366,109,
2020-04-07,6991,550,558.9,5.45,169,22,16.4,0.1601,1510,144,
2020-04-08,7530,620,574.1,5.6,198,29,19.0,0.1852,1714,204,
2020-04-09,7955,425,558.6,5.44,223,25,20.7,0.2019,1894,180,
2020-04-10,8430,475,552.0,5.38,241,18,21.7,0.2116,2043,149,
2020-04-11,8873,456,515.6,5.02,265,25,21.3,0.2075,2172,129,
2020-04-12,9192,323,467.0,4.55,296,31,23.6,0.2297,2246,74,
2020-04-13,9420,239,441.1,4.3,320,25,25.0,0.2437,2354,108,133.0
2020-04-14,10047,670,458.3,4.47,360,40,27.6,0.2687,2517,163,137.4
2020-04-15,10496,472,437.1,4.26,402,42,29.4,0.2868,2704,187,140.8
2020-04-16,10854,399,433.4,4.22,455,55,33.7,0.3286,2847,143,140.6
2020-04-17,11391,567,446.6,4.35,495,40,36.9,0.3592,3014,167,142.6
2020-04-18,12021,642,473.1,4.61,576,81,44.9,0.4372,3280,266,150.9
2020-04-19,12341,334,474.7,4.63,600,24,43.9,0.4274,3387,107,152.1
2020-04-20,13816,1491,653.6,6.37,617,17,42.7,0.4163,3465,78,149.9
2020-04-21,15140,1400,757.9,7.39,663,46,43.6,0.4247,3639,174,152.1
2020-04-22,16435,1318,878.7,8.56,729,66,47.0,0.4581,3902,263,156.3
2020-04-23,17508,1081,976.1,9.51,797,68,48.9,0.4762,4053,151,154.2
2020-04-24,18517,1035,1043.0,10.17,848,52,50.6,0.4929,4211,158,154.9
2020-04-25,19107,607,1038.0,10.12,895,48,45.9,0.4469,4319,108,153.4
