Date,Area,Region,Cases,Case Rate,CF Outbreak
2020-03-30,City of Agoura Hills,Santa Monica Mountains,9,42.52,
2020-03-30,City of Alhambra,San Gabriel Valley,11,12.69,
2020-03-30,City of Arcadia,San Gabriel Valley,9,15.79,
2020-03-30,City of Artesia,Southeast,,,
2020-03-30,City of Avalon,Harbor,0,0.0,
2020-03-30,City of Azusa,San Gabriel Valley,3,6.06,
2020-03-30,City of Baldwin Park,San Gabriel Valley,0,0.0,
2020-03-30,City of Bell,Southeast,11,30.06,
2020-03-30,City of Bell Gardens,Southeast,2,4.67,
2020-03-30,City of Bellflower,Southeast,17,22.35,
2020-03-30,City of Beverly Hills,Westside,28,80.8,
2020-03-30,City of Bradbury,San Gabriel Valley,0,0.0,
2020-03-30,City of Burbank,San Fernando Valley,21,20.06,
2020-03-30,City of Calabasas,Santa Monica Mountains,11,45.49,
2020-03-30,City of Carson,Harbor,35,37.34,
2020-03-30,City of Cerritos,Southeast,5,10.15,
2020-03-30,City of Claremont,Pomona Valley,1,2.77,
2020-03-30,City of Commerce,Southeast,,,
2020-03-30,City of Compton,Southeast,13,12.88,
2020-03-30,City of Covina,San Gabriel Valley,8,16.28,
2020-03-30,City of Cudahy,Southeast,,,
2020-03-30,City of Culver City,Westside,14,34.7,
2020-03-30,City of Diamond Bar,San Gabriel Valley,3,5.25,
2020-03-30,City of Downey,Southeast,25,21.97,
2020-03-30,City of Duarte,San Gabriel Valley,,,
2020-03-30,City of El Monte,San Gabriel Valley,1,0.88,
2020-03-30,City of El Segundo,South Bay,,,
2020-03-30,City of Gardena,South Bay,7,11.54,
2020-03-30,City of Glendale,Verdugos,62,30.75,
2020-03-30,City of Glendora,San Gabriel Valley,6,11.49,
2020-03-30,City of Hawaiian Gardens,Harbor,,,
2020-03-30,City of Hawthorne,South Bay,13,14.81,
2020-03-30,City of Hermosa Beach,South Bay,7,35.51,
2020-03-30,City of Hidden Hills,Santa Monica Mountains,0,0.0,
2020-03-30,City of Huntington Park,Southeast,4,6.72,
2020-03-30,City of Industry,San Gabriel Valley,0,0.0,
2020-03-30,City of Inglewood,South Bay,26,22.34,
2020-03-30,City of Irwindale,San Gabriel Valley,0,0.0,
2020-03-30,City of La Canada Flintridge,Verdugos,8,39.04,
2020-03-30,City of La Habra Heights,San Gabriel Valley,0,0.0,
2020-03-30,City of La Mirada,Southeast,7,14.15,
2020-03-30,City of La Puente,San Gabriel Valley,3,7.43,
2020-03-30,City of La Verne,Pomona Valley,2,6.04,
2020-03-30,City of Lakewood,Harbor,13,16.63,
2020-03-30,City of Lancaster,Antelope Valley,27,17.24,
2020-03-30,City of Lawndale,South Bay,4,11.98,
2020-03-30,City of Lomita,South Bay,,,
2020-03-30,City of Long Beach,Harbor,0,0.0,
2020-03-30,City of Lynwood,Southeast,16,22.16,
2020-03-30,City of Malibu,Santa Monica Mountains,,,
2020-03-30,City of Manhattan Beach,South Bay,31,88.14,
2020-03-30,City of Maywood,Southeast,5,17.78,
2020-03-30,City of Monrovia,San Gabriel Valley,4,10.68,
2020-03-30,City of Montebello,Southeast,4,6.28,
2020-03-30,City of Monterey Park,San Gabriel Valley,5,8.18,
2020-03-30,City of Norwalk,Southeast,15,14.3,
2020-03-30,City of Palmdale,Antelope Valley,9,5.64,
2020-03-30,City of Palos Verdes Estates,South Bay,14,102.44,
2020-03-30,City of Paramount,Southeast,7,12.45,
2020-03-30,City of Pasadena,Verdugos,0,0.0,
2020-03-30,City of Pico Rivera,Southeast,6,9.37,
2020-03-30,City of Pomona,Pomona Valley,5,3.22,
2020-03-30,City of Rancho Palos Verdes,South Bay,10,23.31,
2020-03-30,City of Redondo Beach,South Bay,34,49.05,
2020-03-30,City of Rolling Hills,South Bay,0,0.0,
2020-03-30,City of Rolling Hills Estates,South Bay,,,
2020-03-30,City of Rosemead,San Gabriel Valley,2,3.63,
2020-03-30,City of San Dimas,San Gabriel Valley,3,8.82,
2020-03-30,City of San Fernando,San Fernando Valley,,,
2020-03-30,City of San Gabriel,San Gabriel Valley,6,14.88,
2020-03-30,City of San Marino,San Gabriel Valley,,,
2020-03-30,City of Santa Clarita,Northwest County,41,18.69,
2020-03-30,City of Santa Fe Springs,Southeast,0,0.0,
2020-03-30,City of Santa Monica,Westside,47,50.32,
2020-03-30,City of Sierra Madre,San Gabriel Valley,0,0.0,
2020-03-30,City of Signal Hill,Harbor,,,
2020-03-30,City of South El Monte,San Gabriel Valley,0,0.0,
2020-03-30,City of South Gate,Southeast,14,14.04,
2020-03-30,City of South Pasadena,San Gabriel Valley,5,19.28,
2020-03-30,City of Temple City,San Gabriel Valley,1,2.74,
2020-03-30,City of Torrance,South Bay,43,29.31,
2020-03-30,City of Vernon,Southeast,0,0.0,
2020-03-30,City of Walnut,San Gabriel Valley,3,9.98,
2020-03-30,City of West Covina,San Gabriel Valley,7,6.5,
2020-03-30,City of West Hollywood,Central LA,53,148.05,
2020-03-30,City of Westlake Village,Santa Monica Mountains,0,0.0,
2020-03-30,City of Whittier,San Gabriel Valley,8,9.08,
2020-03-30,Los Angeles,,1171,29.03,
2020-03-30,Los Angeles - Adams-Normandie,South LA,,,
2020-03-30,Los Angeles - Alsace,South LA,,,
2020-03-30,Los Angeles - Angeles National Forest,Angeles Forest,0,0.0,
2020-03-30,Los Angeles - Angelino Heights,Central LA,0,0.0,
2020-03-30,Los Angeles - Arleta,San Fernando Valley,5,14.24,
2020-03-30,Los Angeles - Atwater Village,Northeast LA,,,
2020-03-30,Los Angeles - Baldwin Hills,South LA,9,30.01,
2020-03-30,Los Angeles - Bel Air,Westside,9,109.52,
2020-03-30,Los Angeles - Beverly Crest,Westside,19,153.29,
