Date,Gender,Cases,Cases per 100k,"New cases, 14-day avg per 100k"
2020-04-04,Female,2277,46.6,
2020-04-04,Male,2641,55.5,
2020-04-05,Female,2547,52.1,
2020-04-05,Male,2899,60.9,
2020-04-06,Female,2763,56.5,
2020-04-06,Male,3082,64.7,
2020-04-07,Female,2998,61.3,
2020-04-07,Male,3313,69.6,
2020-04-08,Female,3292,67.3,
2020-04-08,Male,3569,75.0,
2020-04-09,Female,3514,71.8,
2020-04-09,Male,3792,79.7,
2020-04-10,Female,3761,76.9,
2020-04-10,Male,4013,84.3,
2020-04-11,Female,3998,81.7,
2020-04-11,Male,4216,88.6,
2020-04-12,Female,4198,85.8,
2020-04-12,Male,4402,92.5,
2020-04-13,Female,4320,88.3,
2020-04-13,Male,4508,94.7,
2020-04-14,Female,4608,94.2,
2020-04-14,Male,4774,100.3,
2020-04-15,Female,4993,102.1,
2020-04-15,Male,4807,101.0,
2020-04-16,Female,4967,101.6,
2020-04-16,Male,5179,108.8,
2020-04-17,Female,5239,107.1,
2020-04-17,Male,5408,113.6,
2020-04-18,Female,5551,113.5,4.78
2020-04-18,Male,5698,119.7,4.59
2020-04-19,Female,5969,122.0,5.0
2020-04-19,Male,5841,122.7,4.41
2020-04-20,Female,6431,131.5,5.36
2020-04-20,Male,6561,137.8,5.22
2020-04-21,Female,7085,144.9,5.97
2020-04-21,Male,7192,151.1,5.82
2020-04-22,Female,7827,160.0,6.62
2020-04-22,Male,7706,161.9,6.21
2020-04-23,Female,8281,169.3,6.96
2020-04-23,Male,8314,174.7,6.79
2020-04-24,Female,8799,179.9,7.36
2020-04-24,Male,8744,183.7,7.1
2020-04-25,Female,9083,185.7,7.43
2020-04-25,Male,9008,189.2,7.19
2020-04-26,Female,9272,189.6,7.41
2020-04-26,Male,9220,193.7,7.23
2020-04-27,Female,9721,198.8,7.89
2020-04-27,Male,9621,202.1,7.67
2020-04-28,Female,9996,204.4,7.87
2020-04-28,Male,9868,207.3,7.64
2020-04-29,Female,10591,216.5,8.18
2020-04-29,Male,10745,225.7,8.91
2020-04-30,Female,10903,222.9,8.67
2020-04-30,Male,11085,232.9,8.86
2020-05-01,Female,11416,233.4,9.02
2020-05-01,Male,11551,242.7,9.22
2020-05-02,Female,11736,240.0,9.03
2020-05-02,Male,11851,249.0,9.23
2020-05-03,Female,12112,247.6,8.97
2020-05-03,Male,12193,256.1,9.53
2020-05-04,Female,12354,252.6,8.65
2020-05-04,Male,12455,261.6,8.84
2020-05-05,Female,13186,269.6,8.91
2020-05-05,Male,13162,276.5,8.96
2020-05-06,Female,13587,277.8,8.41
2020-05-06,Male,13550,284.6,8.77
2020-05-07,Female,13952,285.3,8.28
2020-05-07,Male,13936,292.8,8.44
2020-05-08,Female,14304,292.5,8.04
2020-05-08,Male,14356,301.6,8.42
2020-05-09,Female,14731,301.2,8.25
2020-05-09,Male,14788,310.6,8.67
2020-05-10,Female,14945,305.6,8.28
2020-05-10,Male,15015,315.4,8.7
2020-05-11,Female,15231,311.4,8.05
2020-05-11,Male,15280,321.0,8.49
2020-05-12,Female,15669,320.4,8.28
2020-05-12,Male,15742,330.7,8.81
2020-05-13,Female,16245,332.1,8.26
2020-05-13,Male,16340,343.3,8.4
2020-05-14,Female,16586,339.1,8.3
2020-05-14,Male,16767,352.2,8.53
2020-05-15,Female,16586,339.1,7.55
2020-05-15,Male,17173,360.8,8.44
2020-05-16,Female,17457,356.9,8.36
2020-05-16,Male,17684,371.5,8.75
2020-05-17,Female,17741,362.7,8.22
2020-05-17,Male,18002,378.2,8.72
2020-05-18,Female,17966,367.3,8.2
2020-05-18,Male,18216,382.7,8.64
2020-05-19,Female,18497,378.2,7.76
2020-05-19,Male,18779,394.5,8.43
2020-05-20,Female,19084,390.2,8.03
2020-05-20,Male,19422,408.0,8.81
2020-05-21,Female,19630,401.4,8.29
2020-05-21,Male,19915,418.4,8.97
2020-05-22,Female,20131,411.6,8.51
2020-05-22,Male,20332,427.1,8.97
2020-05-23,Female,20630,421.8,8.61
2020-05-23,Male,20801,437.0,9.02
2020-05-24,Female,21079,431.0,8.96
2020-05-24,Male,21219,445.7,9.31
2020-05-25,Female,21539,440.4,9.21
2020-05-25,Male,21737,456.6,9.69
2020-05-26,Female,22466,459.3,9.93
2020-05-26,Male,22610,475.0,10.31
2020-05-27,Female,22888,468.0,9.7
2020-05-27,Male,23003,483.2,10.0
2020-05-28,Female,23347,477.3,9.87
2020-05-28,Male,23539,494.5,10.16
2020-05-29,Female,24127,493.3,11.01
2020-05-29,Male,24454,513.7,10.93
2020-05-30,Female,25081,512.8,11.13
2020-05-30,Male,25469,535.0,11.68
2020-05-31,Female,25662,524.7,11.57
2020-05-31,Male,26141,549.1,12.21
2020-06-01,Female,26128,534.2,11.92
2020-06-01,Male,26641,559.6,12.64
2020-06-02,Female,26631,544.5,11.88
2020-06-02,Male,27247,572.4,12.71
2020-06-03,Female,27100,554.1,11.71
2020-06-03,Male,27779,583.5,12.54
2020-06-04,Female,27797,568.3,11.93
2020-06-04,Male,28457,597.8,12.82
2020-06-05,Female,28330,579.2,11.97
2020-06-05,Male,29254,614.5,13.39
2020-06-06,Female,28865,590.2,12.03
2020-06-06,Male,29975,629.7,13.77
2020-06-07,Female,29558,604.3,12.38
2020-06-07,Male,30731,645.6,14.27
2020-06-08,Female,29982,613.0,12.33
2020-06-08,Male,31098,653.3,14.05
2020-06-09,Female,30535,624.3,11.78
2020-06-09,Male,31663,665.1,13.58
2020-06-10,Female,31109,636.0,12.01
2020-06-10,Male,32202,676.5,13.8
2020-06-11,Female,32005,654.4,12.64
2020-06-11,Male,33067,694.6,14.3
2020-06-12,Female,32771,670.0,12.62
2020-06-12,Male,33810,710.2,14.04
2020-06-13,Female,33494,684.8,12.29
2020-06-13,Male,34564,726.1,13.65
2020-06-14,Female,33988,694.9,12.16
2020-06-14,Male,35014,735.5,13.31
2020-06-15,Female,34403,703.4,12.08
2020-06-15,Male,35380,743.2,13.11
2020-06-16,Female,35051,716.6,12.3
2020-06-16,Male,35983,755.9,13.11
2020-06-17,Female,36046,737.0,13.06
2020-06-17,Male,37043,778.2,13.9
2020-06-18,Female,36523,746.7,12.74
2020-06-18,Male,37506,787.9,13.58
2020-06-19,Female,37164,759.8,12.9
2020-06-19,Male,38114,800.7,13.29
2020-06-20,Female,38126,779.5,13.52
2020-06-20,Male,39088,821.1,13.67
2020-06-21,Female,38992,797.2,13.78
2020-06-21,Male,39904,838.3,13.76
2020-06-22,Female,40289,823.7,15.05
2020-06-22,Male,41107,863.5,15.02
2020-06-23,Female,41410,846.7,15.88
2020-06-23,Male,42213,886.8,15.83
2020-06-24,Female,41916,857.0,15.78
2020-06-24,Male,42691,896.8,15.74
2020-06-25,Female,42860,876.3,15.85
2020-06-25,Male,43562,915.1,15.75
2020-06-26,Female,43713,893.7,15.98
2020-06-26,Male,44356,931.8,15.82
2020-06-27,Female,44694,913.8,16.36
2020-06-27,Male,45330,952.2,16.15
2020-06-28,Female,45934,939.2,17.45
2020-06-28,Male,46584,978.6,17.36
2020-06-29,Female,47383,968.8,18.96
2020-06-29,Male,47988,1008.1,18.92
2020-06-30,Female,48648,994.6,19.86
2020-06-30,Male,49258,1034.8,19.92
2020-07-01,Female,49457,1011.2,19.59
2020-07-01,Male,50071,1051.8,19.55
2020-07-02,Female,50488,1032.3,20.39
2020-07-02,Male,51021,1071.8,20.28
2020-07-03,Female,50488,1032.3,19.46
2020-07-03,Male,51021,1071.8,19.37
2020-07-04,Female,50488,1032.3,18.05
2020-07-04,Male,51021,1071.8,17.91
2020-07-05,Female,50488,1032.3,16.79
2020-07-05,Male,51021,1071.8,16.68
2020-07-06,Female,54838,1121.2,21.25
2020-07-06,Male,55361,1163.0,21.39
2020-07-07,Female,56801,1161.3,22.48
2020-07-07,Male,57237,1202.4,22.54
2020-07-08,Female,57950,1184.8,23.42
2020-07-08,Male,58312,1225.0,23.44
2020-07-09,Female,58648,1199.1,23.06
2020-07-09,Male,59091,1241.3,23.3
2020-07-10,Female,59809,1222.8,23.51
2020-07-10,Male,60265,1266.0,23.87
2020-07-11,Female,61230,1251.9,24.15
2020-07-11,Male,61622,1294.5,24.45
2020-07-12,Female,62882,1285.7,24.75
2020-07-12,Male,63105,1325.6,24.79
2020-07-13,Female,64224,1313.1,24.59
2020-07-13,Male,64274,1350.2,24.44
2020-07-14,Female,66260,1354.7,25.72
2020-07-14,Male,66153,1389.7,25.35
2020-07-15,Female,67483,1379.7,26.33
2020-07-15,Male,67358,1415.0,25.94
2020-07-16,Female,69698,1425.0,28.05
2020-07-16,Male,69392,1457.7,27.57
2020-07-17,Female,71047,1452.6,30.02
2020-07-17,Male,70645,1484.0,29.45
2020-07-18,Female,72364,1479.5,31.95
2020-07-18,Male,71915,1510.7,31.35
2020-07-19,Female,73779,1508.5,34.01
2020-07-19,Male,73200,1537.7,33.28
2020-07-20,Female,75371,1541.0,29.99
2020-07-20,Male,74709,1569.4,29.03
2020-07-21,Female,76728,1568.8,29.1
2020-07-21,Male,75847,1593.3,27.92
2020-07-22,Female,78184,1598.5,29.55
2020-07-22,Male,77228,1622.3,28.38
2020-07-23,Female,79051,1616.3,29.8
2020-07-23,Male,78054,1639.7,28.45
2020-07-24,Female,79967,1635.0,29.44
2020-07-24,Male,78867,1656.7,27.91
2020-07-25,Female,81716,1670.7,29.92
2020-07-25,Male,80476,1690.5,28.29
2020-07-26,Female,82507,1686.9,28.66
2020-07-26,Male,81202,1705.8,27.15
2020-07-27,Female,83544,1708.1,28.22
2020-07-27,Male,82153,1725.8,26.83
2020-07-28,Female,84870,1735.2,27.18
2020-07-28,Male,83361,1751.2,25.82
2020-07-29,Female,86497,1768.5,27.77
2020-07-29,Male,84863,1782.7,26.27
2020-07-30,Female,87359,1786.1,25.79
2020-07-30,Male,85662,1799.5,24.41
2020-07-31,Female,88478,1809.0,25.46
2020-07-31,Male,86676,1820.8,24.05
2020-08-01,Female,89620,1832.4,25.2
2020-08-01,Male,87727,1842.9,23.73
2020-08-02,Female,90275,1845.7,24.09
2020-08-02,Male,88363,1856.2,22.75
2020-08-03,Female,91105,1862.7,22.98
2020-08-03,Male,89127,1872.3,21.63
2020-08-04,Female,92029,1881.6,22.35
2020-08-04,Male,89937,1889.3,21.14
2020-08-05,Female,93256,1906.7,22.01
2020-08-05,Male,91048,1912.6,20.74
2020-08-06,Female,94794,1938.1,22.99
2020-08-06,Male,92436,1941.8,21.58
2020-08-07,Female,96374,1970.4,23.96
2020-08-07,Male,93818,1970.8,22.43
2020-08-08,Female,97713,1997.8,23.36
2020-08-08,Male,94946,1994.5,21.71
2020-08-09,Female,98600,2016.0,23.5
2020-08-09,Male,95795,2012.4,21.9
2020-08-10,Female,99567,2035.7,23.4
2020-08-10,Male,96678,2030.9,21.79
2020-08-11,Female,100204,2048.8,22.39
2020-08-11,Male,97304,2044.1,20.92
2020-08-12,Female,101275,2070.6,21.58
2020-08-12,Male,98299,2065.0,20.16
2020-08-13,Female,102264,2090.9,21.77
2020-08-13,Male,99190,2083.7,20.3
2020-08-14,Female,103481,2115.8,21.91
2020-08-14,Male,100334,2107.7,20.49
2020-08-15,Female,104447,2135.5,21.65
2020-08-15,Male,101263,2127.2,20.31
2020-08-16,Female,105035,2147.5,21.56
2020-08-16,Male,101754,2137.5,20.09
2020-08-17,Female,105614,2159.4,21.19
2020-08-17,Male,102328,2149.6,19.81
2020-08-18,Female,106038,2168.0,20.46
2020-08-18,Male,102728,2158.0,19.19
2020-08-19,Female,106934,2186.4,19.98
2020-08-19,Male,103541,2175.1,18.75
2020-08-20,Female,107680,2201.6,18.82
2020-08-20,Male,104236,2189.7,17.71
2020-08-21,Female,108540,2219.2,17.77
2020-08-21,Male,104236,2189.7,15.63
2020-08-22,Female,109313,2235.0,16.94
2020-08-22,Male,105751,2221.5,16.21
2020-08-23,Female,109792,2244.8,16.34
2020-08-23,Male,106189,2230.7,15.6
2020-08-24,Female,110420,2257.6,15.85
2020-08-24,Male,106741,2242.3,15.1
2020-08-25,Female,110867,2266.8,15.57
2020-08-25,Male,107141,2250.7,14.76
2020-08-26,Female,111705,2283.9,15.23
2020-08-26,Male,107955,2267.8,14.49
2020-08-27,Female,112540,2301.0,15.01
2020-08-27,Male,108730,2284.1,14.31
2020-08-28,Female,113349,2317.5,14.41
2020-08-28,Male,109384,2297.8,13.58
2020-08-29,Female,113996,2330.7,13.95
2020-08-29,Male,109981,2310.4,13.08
2020-08-30,Female,114478,2340.6,13.79
2020-08-30,Male,110411,2319.4,12.99
2020-08-31,Female,114989,2351.0,13.69
2020-08-31,Male,110898,2329.6,12.86
2020-09-01,Female,115365,2358.7,13.62
2020-09-01,Male,111247,2336.9,12.78
2020-09-02,Female,116089,2373.5,13.37
2020-09-02,Male,111903,2350.7,12.55
2020-09-03,Female,116612,2384.2,13.04
2020-09-03,Male,112374,2360.6,12.21
2020-09-04,Female,117292,2398.1,12.78
2020-09-04,Male,112999,2373.8,13.15
2020-09-05,Female,117861,2409.8,12.48
2020-09-05,Male,113518,2384.7,11.65
2020-09-06,Female,118228,2417.3,12.32
2020-09-06,Male,113854,2391.7,11.5
2020-09-07,Female,118472,2422.3,11.76
2020-09-07,Male,114092,2396.7,11.03
2020-09-08,Female,118668,2426.3,11.39
2020-09-08,Male,114313,2401.4,10.76
2020-09-09,Female,118983,2432.7,10.63
2020-09-09,Male,114582,2407.0,9.94
2020-09-10,Female,119541,2444.1,10.22
2020-09-10,Male,115089,2417.7,9.54
2020-09-11,Female,120043,2454.4,9.78
2020-09-11,Male,115569,2427.7,9.28
2020-09-12,Female,120594,2465.6,9.64
2020-09-12,Male,116075,2438.4,9.14
2020-09-13,Female,120998,2473.9,9.52
2020-09-13,Male,116427,2445.8,9.03
2020-09-14,Female,121345,2481.0,9.28
2020-09-14,Male,116744,2452.4,8.77
2020-09-15,Female,121526,2484.7,9.0
2020-09-15,Male,116932,2456.4,8.53
2020-09-16,Female,122027,2494.9,8.67
2020-09-16,Male,117436,2467.0,8.3
2020-09-17,Female,122603,2506.7,8.75
2020-09-17,Male,117929,2477.3,8.34
2020-09-18,Female,123226,2519.5,8.67
2020-09-18,Male,118469,2488.7,8.21
2020-09-19,Female,123840,2532.0,8.73
2020-09-19,Male,119090,2501.7,8.36
2020-09-20,Female,124287,2541.1,8.85
2020-09-20,Male,119538,2511.1,8.53
2020-09-21,Female,124611,2547.8,8.97
2020-09-21,Male,119852,2517.7,8.64
2020-09-22,Female,124934,2554.4,9.15
2020-09-22,Male,120152,2524.0,8.76
2020-09-23,Female,125532,2566.6,9.56
2020-09-23,Male,120677,2535.0,9.15
2020-09-24,Female,126054,2577.3,9.51
2020-09-24,Male,121154,2545.1,9.1
2020-09-25,Female,126731,2591.1,9.77
2020-09-25,Male,121762,2557.8,9.29
2020-09-26,Female,127332,2603.4,9.84
2020-09-26,Male,122331,2569.8,9.39
2020-09-27,Female,127729,2611.5,9.83
2020-09-27,Male,122706,2577.7,9.42
2020-09-28,Female,128062,2618.3,9.81
2020-09-28,Male,123018,2584.2,9.41
2020-09-29,Female,128475,2626.8,10.15
2020-09-29,Male,123387,2592.0,9.69
2020-09-30,Female,128960,2636.7,10.13
2020-09-30,Male,123856,2601.8,9.63
2020-10-01,Female,129458,2646.9,10.01
2020-10-01,Male,124350,2612.2,9.63
2020-10-02,Female,130080,2659.6,10.01
2020-10-02,Male,124934,2624.5,9.7
2020-10-03,Female,130597,2670.2,9.87
2020-10-03,Male,125391,2634.1,9.45
2020-10-04,Female,131027,2679.0,9.84
2020-10-04,Male,125817,2643.0,9.42
2020-10-05,Female,131207,2682.6,9.63
2020-10-05,Male,126011,2647.1,9.24
2020-10-06,Female,131668,2692.1,9.83
2020-10-06,Male,126380,2654.8,9.35
2020-10-07,Female,132465,2708.4,10.13
2020-10-07,Male,127106,2670.1,9.65
2020-10-08,Female,133103,2721.4,10.29
2020-10-08,Male,127636,2681.2,9.73
2020-10-09,Female,133708,2733.8,10.19
2020-10-09,Male,128196,2693.0,9.65
2020-10-10,Female,134310,2746.1,10.19
2020-10-10,Male,128766,2705.0,9.66
2020-10-11,Female,134795,2756.0,10.32
2020-10-11,Male,129199,2714.1,9.74
2020-10-12,Female,135231,2764.9,10.47
2020-10-12,Male,129607,2722.6,9.89
2020-10-13,Female,135575,2771.9,10.37
2020-10-13,Male,129975,2730.4,9.89
2020-10-14,Female,136209,2784.9,10.59
2020-10-14,Male,130557,2742.6,10.05
2020-10-15,Female,136741,2795.8,10.64
2020-10-15,Male,131129,2754.6,10.17
2020-10-16,Female,137270,2806.6,10.5
2020-10-16,Male,131591,2764.3,9.99
2020-10-17,Female,137699,2815.4,10.37
2020-10-17,Male,132039,2773.7,9.98
2020-10-18,Female,137841,2818.3,9.95
2020-10-18,Male,132162,2776.3,9.52
2020-10-19,Female,138294,2827.5,10.35
2020-10-19,Male,132607,2785.7,9.9
2020-10-20,Female,138590,2833.6,10.11
2020-10-20,Male,132891,2791.6,9.77
2020-10-21,Female,138774,2837.3,9.21
2020-10-21,Male,133084,2795.7,8.97
2020-10-22,Female,140573,2874.1,10.91
2020-10-22,Male,134741,2830.5,10.66
2020-10-23,Female,141919,2901.6,11.99
2020-10-23,Male,136046,2857.9,11.78
2020-10-24,Female,142936,2922.4,12.6
2020-10-24,Male,136997,2877.9,12.35
2020-10-25,Female,143292,2929.7,12.41
2020-10-25,Male,137371,2885.7,12.26
2020-10-26,Female,143722,2938.5,12.4
2020-10-26,Male,137790,2894.5,12.28
2020-10-27,Female,144439,2953.2,12.95
2020-10-27,Male,138507,2909.6,12.8
2020-10-28,Female,145069,2966.1,12.94
2020-10-28,Male,139118,2922.4,12.85
2020-10-29,Female,145889,2982.8,13.36
2020-10-29,Male,139808,2936.9,13.02
2020-10-30,Female,146515,2995.6,13.5
2020-10-30,Male,140379,2948.9,13.19
2020-10-31,Female,147128,3008.1,13.77
2020-10-31,Male,140971,2961.4,13.4
2020-11-01,Female,147896,3023.9,14.68
2020-11-01,Male,141664,2975.9,14.26
2020-11-02,Female,148616,3038.6,15.07
2020-11-02,Male,142333,2990.0,14.59
2020-11-03,Female,149225,3051.0,15.53
2020-11-03,Male,142872,3001.3,14.98
2020-11-04,Female,150036,3067.6,16.45
2020-11-04,Male,143689,3018.5,15.91
2020-11-05,Female,151025,3087.8,15.26
2020-11-05,Male,144625,3038.1,14.83
2020-11-06,Female,152069,3109.2,14.82
2020-11-06,Male,145591,3058.4,14.32
2020-11-07,Female,153266,3133.6,15.09
2020-11-07,Male,146643,3080.5,14.47
2020-11-08,Female,154335,3155.5,16.13
2020-11-08,Male,147682,3102.3,15.47
2020-11-09,Female,153266,3133.6,13.94
2020-11-09,Male,146643,3080.5,13.28
2020-11-10,Female,156140,3192.4,17.09
2020-11-10,Male,149349,3137.4,16.27
2020-11-11,Female,157095,3211.9,17.56
2020-11-11,Male,150308,3157.5,16.79
2020-11-12,Female,158335,3237.3,18.18
2020-11-12,Male,151412,3180.7,17.41
2020-11-13,Female,159516,3261.4,18.99
2020-11-13,Male,152576,3205.1,18.3
2020-11-14,Female,161401,3300.0,20.84
2020-11-14,Male,154242,3240.1,19.91
2020-11-15,Female,162848,3329.6,21.84
2020-11-15,Male,155631,3269.3,20.96
2020-11-16,Female,164228,3357.8,22.8
2020-11-16,Male,156981,3297.7,21.98
2020-11-17,Female,165318,3380.1,23.5
2020-11-17,Male,157922,3317.4,22.58
2020-11-18,Female,167168,3417.9,25.02
2020-11-18,Male,159582,3352.3,23.85
2020-11-19,Female,169526,3466.1,27.02
2020-11-19,Male,161803,3399.0,25.78
2020-11-20,Female,171599,3508.5,28.52
2020-11-20,Male,163666,3438.1,27.12
2020-11-21,Female,173712,3551.7,29.86
2020-11-21,Male,165740,3481.7,28.65
2020-11-22,Female,174916,3576.3,30.06
2020-11-22,Male,166964,3507.4,28.93
2020-11-23,Female,178014,3639.6,36.14
2020-11-23,Male,169824,3567.5,34.78
2020-11-24,Female,179702,3674.2,34.41
2020-11-24,Male,171437,3601.4,33.14
2020-11-25,Female,181566,3712.3,35.74
2020-11-25,Male,173313,3640.8,34.52
2020-11-26,Female,184130,3764.7,37.67
2020-11-26,Male,175592,3688.6,36.28
2020-11-27,Female,186401,3811.1,39.26
2020-11-27,Male,177715,3733.2,37.72
2020-11-28,Female,188044,3844.7,38.91
2020-11-28,Male,179189,3764.2,37.43
2020-11-29,Female,190438,3893.7,40.29
2020-11-29,Male,181394,3810.5,38.66
2020-11-30,Female,192993,3945.9,42.01
2020-11-30,Male,183855,3862.2,40.32
2020-12-01,Female,196519,4018.0,45.57
2020-12-01,Male,187233,3933.2,43.98
2020-12-02,Female,199198,4072.8,46.78
2020-12-02,Male,189662,3984.2,45.13
2020-12-03,Female,202949,4149.5,48.81
2020-12-03,Male,192966,4053.6,46.76
2020-12-04,Female,207309,4238.6,52.15
2020-12-04,Male,196736,4132.8,49.62
2020-12-05,Female,211584,4326.0,55.31
2020-12-05,Male,200718,4216.5,52.48
2020-12-06,Female,216571,4428.0,60.83
2020-12-06,Male,205358,4313.9,57.61
2020-12-07,Female,220635,4511.1,62.24
2020-12-07,Male,209081,4392.1,58.9
2020-12-08,Female,224793,4596.1,65.85
2020-12-08,Male,212871,4471.7,62.17
2020-12-09,Female,228830,4678.6,69.03
2020-12-09,Male,216561,4549.3,64.89
2020-12-10,Female,234848,4801.7,74.07
2020-12-10,Male,222188,4667.5,69.92
2020-12-11,Female,241309,4933.8,80.19
2020-12-11,Male,228607,4802.3,76.36
2020-12-12,Female,246702,5044.0,85.66
2020-12-12,Male,233767,4910.7,81.89
2020-12-13,Female,252721,5167.1,90.96
2020-12-13,Male,239433,5029.7,87.09
2020-12-14,Female,256328,5240.8,92.5
2020-12-14,Male,242823,5100.9,88.48
2020-12-15,Female,261708,5350.8,95.2
2020-12-15,Male,247941,5208.5,91.09
2020-12-16,Female,272317,5567.7,106.78
2020-12-16,Male,258093,5421.7,102.68
2020-12-17,Female,278684,5697.9,110.6
2020-12-17,Male,263931,5544.4,106.48
2020-12-18,Female,286203,5851.6,115.22
2020-12-18,Male,271321,5699.6,111.91
2020-12-19,Female,286203,5851.6,108.97
2020-12-19,Male,271321,5699.6,105.94
2020-12-20,Female,299018,6113.7,120.41
2020-12-20,Male,283267,5950.5,116.9
2020-12-21,Female,304667,6229.2,122.72
2020-12-21,Male,288564,6061.8,119.26
2020-12-22,Female,310423,6346.8,125.06
2020-12-22,Male,294029,6176.6,121.78
2020-12-23,Female,318262,6507.1,130.61
2020-12-23,Male,301402,6331.5,127.3
2020-12-24,Female,324308,6630.7,130.65
2020-12-24,Male,307196,6453.2,127.55
2020-12-25,Female,324308,6630.7,121.21
2020-12-25,Male,307196,6453.2,117.92
2020-12-26,Female,338793,6926.9,134.49
2020-12-26,Male,320499,6732.7,130.14
2020-12-27,Female,345008,7054.0,134.78
2020-12-27,Male,326460,6857.9,130.58
2020-12-28,Female,351964,7196.2,139.67
2020-12-28,Male,332756,6990.2,134.94
2020-12-29,Female,357645,7312.3,140.11
2020-12-29,Male,338116,7102.8,135.31
2020-12-30,Female,362460,7410.8,131.65
2020-12-30,Male,342620,7197.4,126.83
2020-12-31,Female,369579,7556.3,132.74
2020-12-31,Male,348866,7328.6,127.44
2021-01-01,Female,379318,7755.5,135.99
2021-01-01,Male,357479,7509.5,129.28
2021-01-02,Female,387548,7923.7,148.01
2021-01-02,Male,364674,7660.7,140.08
2021-01-03,Female,393665,8048.8,138.22
2021-01-03,Male,369912,7770.7,130.01
2021-01-04,Female,398306,8143.7,136.75
2021-01-04,Male,374019,7857.0,128.22
2021-01-05,Female,404140,8263.0,136.87
2021-01-05,Male,379330,7968.5,127.99
2021-01-06,Female,409613,8374.9,133.41
2021-01-06,Male,384295,8072.8,124.38
2021-01-07,Female,418732,8561.3,137.9
2021-01-07,Male,392579,8246.8,128.12
