date,r_est,r_ci_low,r_ci_high,infectous_est,infectious_ci_low,infectous_ci_high
2020-06-22,0.94,0.83,1.03,0.25,0.14,0.47
2020-06-29,1.26,1.13,1.41,0.71,0.43,1.16
2020-07-08,1.01,0.88,1.16,0.37,0.21,0.62
2020-07-15,1.07,0.94,1.20,0.43,0.26,0.69
2020-07-22,0.94,0.82,1.07,0.31,0.18,0.49
2020-07-29,0.92,0.86,0.98,0.22,0.14,0.35
2020-08-05,0.91,0.83,0.99,0.19,0.12,0.31
2020-08-12,0.86,0.79,0.93,0.14,0.08,0.23
2020-08-19,0.92,0.83,1.01,0.15,0.09,0.24
2020-08-26,0.92,0.85,0.99,0.13,0.08,0.21
2020-09-02,0.94,0.84,1.04,0.11,0.07,0.19
2020-09-09,0.93,0.85,1.00,0.10,0.06,0.15
2020-09-16,0.95,0.85,1.05,0.09,0.05,0.19
2020-09-23,1.02,0.95,1.09,0.13,0.08,0.21
2020-09-30,1.00,0.90,1.07,0.11,0.06,0.19
2020-10-07,0.99,0.91,1.06,0.10,0.06,0.17
2020-10-14,1.05,0.96,1.12,0.15,0.09,0.25
2020-10-21,1.04,0.97,1.11,0.15,0.10,0.23
2020-10-28,0.95,0.84,1.05,0.10,0.04,0.18
2020-11-04,1.02,0.95,1.07,0.15,0.09,0.22
2020-11-11,1.03,0.97,1.09,0.17,0.11,0.26
2020-11-18,1.18,1.10,1.27,0.40,0.26,0.60
2020-11-25,1.27,1.17,1.41,0.69,0.39,1.24
2020-12-02,1.14,1.07,1.22,0.50,0.30,0.77
2020-12-09,1.14,1.09,1.21,0.71,0.45,1.03
2020-12-16,1.20,1.13,1.26,1.23,0.85,1.70
2020-12-23,1.11,1.06,1.17,1.05,0.66,1.57
2021-01-06,0.97,0.93,1.01,0.81,0.50,1.15
2021-01-13,0.97,0.93,1.00,0.89,0.61,1.20
2021-01-20,0.94,0.90,0.97,0.77,0.50,1.14
2021-01-27,0.85,0.81,0.88,0.39,0.24,0.61
2021-02-03,0.83,0.77,0.87,0.34,0.21,0.51
2021-02-10,0.82,0.77,0.86,0.28,0.18,0.39
2021-02-15,0.81,0.76,0.85,0.22,0.14,0.31
2021-02-22,0.78,0.71,0.83,0.14,0.08,0.23
2021-03-01,0.77,0.72,0.82,0.09,0.06,0.13
2021-03-08,0.79,0.72,0.85,0.08,0.05,0.14
2021-03-15,0.87,0.80,0.94,0.11,0.07,0.16
2021-03-22,0.93,0.85,1.04,0.12,0.07,0.20
2021-03-29,0.95,0.87,1.03,0.11,0.06,0.17
2021-04-05,0.92,0.83,0.98,0.08,0.04,0.13
