Date,Race/Ethnicity,Cases,Cases per 100k,"New cases, 14-day avg per 100k",Deaths,Deaths per 100k,"New deaths, 14-day avg per 100k"
2020-04-09,Asian,463,33.2,,32,2.3,
2020-04-09,Black,384,48.7,,23,2.9,
2020-04-09,Hispanic/Latino,1309,27.5,,46,1.0,
2020-04-09,White,1161,43.5,,46,1.7,
2020-04-10,Asian,526,37.7,,38,2.7,
2020-04-10,Black,429,54.4,,26,3.3,
2020-04-10,Hispanic/Latino,1621,34.1,,51,1.1,
2020-04-10,White,1292,48.5,,54,2.0,
2020-04-11,Asian,589,42.2,,40,2.9,
2020-04-11,Black,460,58.3,,27,3.4,
2020-04-11,Hispanic/Latino,1869,39.3,,64,1.3,
2020-04-11,White,1399,52.5,,64,2.4,
2020-04-12,Asian,632,45.3,,46,3.3,
2020-04-12,Black,478,60.6,,33,4.2,
2020-04-12,Hispanic/Latino,2025,42.6,,79,1.7,
2020-04-12,White,1445,54.2,,77,2.9,
2020-04-13,Asian,673,48.2,,47,3.4,
2020-04-13,Black,504,63.9,,37,4.7,
2020-04-13,Hispanic/Latino,2213,46.5,,87,1.8,
2020-04-13,White,1524,57.2,,87,3.3,
2020-04-14,Asian,713,51.1,,49,3.5,
2020-04-14,Black,539,68.3,,46,5.8,
2020-04-14,Hispanic/Latino,2416,50.8,,98,2.1,
2020-04-14,White,1610,60.4,,93,3.5,
2020-04-15,Asian,756,54.2,,57,4.1,
2020-04-15,Black,563,71.3,,50,6.3,
2020-04-15,Hispanic/Latino,2634,55.3,,112,2.4,
2020-04-15,White,1732,65.0,,103,3.9,
2020-04-16,Asian,783,56.1,,67,4.8,
2020-04-16,Black,590,74.8,,64,8.1,
2020-04-16,Hispanic/Latino,2818,59.2,,130,2.7,
2020-04-16,White,1807,67.8,,119,4.5,
2020-04-17,Asian,844,60.5,,75,5.4,
2020-04-17,Black,630,79.8,,69,8.7,
2020-04-17,Hispanic/Latino,3066,64.4,,146,3.1,
2020-04-17,White,1903,71.4,,123,4.6,
2020-04-18,Asian,900,64.5,,84,6.0,
2020-04-18,Black,669,84.8,,79,10.0,
2020-04-18,Hispanic/Latino,3353,70.5,,177,3.7,
2020-04-18,White,1982,74.3,,143,5.4,
2020-04-19,Asian,915,65.6,,91,6.5,
2020-04-19,Black,687,87.0,,83,10.5,
2020-04-19,Hispanic/Latino,3402,71.5,,189,4.0,
2020-04-19,White,2022,75.8,,152,5.7,
2020-04-20,Asian,953,68.3,,94,6.7,
2020-04-20,Black,720,91.2,,87,11.0,
2020-04-20,Hispanic/Latino,3597,75.6,,194,4.1,
2020-04-20,White,2071,77.7,,155,5.8,
2020-04-21,Asian,1028,73.7,3.64,105,7.5,
2020-04-21,Black,769,97.4,4.4,93,11.8,
2020-04-21,Hispanic/Latino,3872,81.4,4.71,207,4.3,
2020-04-21,White,2195,82.3,3.55,162,6.1,
2020-04-22,Asian,1078,77.2,3.81,118,8.5,
2020-04-22,Black,794,100.6,4.46,100,12.7,
2020-04-22,Hispanic/Latino,4227,88.8,5.13,237,5.0,
2020-04-22,White,2293,86.0,3.81,176,6.6,
2020-04-23,Asian,1124,80.5,3.38,128,9.2,0.49
2020-04-23,Black,826,104.7,4.0,107,13.6,0.76
