Aegis Living Granada Hills,10801 Lindley Ave,Granada Hills,CA,91344
Affinity Healthcare Center,7039 Alondra Blvd,Paramount,CA,90723
Alcott Rehabilitation Hospital,3551 W Olympic Blvd,Los Angeles,CA,90019
Alexandria Care Center,1515 N Alexandria Ave,Los Angeles,CA,90027
"Alhambra Healthcare & Wellness Centre, LP (1)",415 S Garfield Ave,Alhambra,CA,91801
"Alhambra Healthcare & Wellness Centre, LP (2)",415 S Garfield Ave,Alhambra,CA,91801
Angels Nursing Health Center,415 S Union Ave,Los Angeles,CA,90017
Antelope Valley Care Center,44567 15th St W,Lancaster,CA,93534
Antelope Valley Rehabilitation Facility,44900 60th St W,Lancaster,CA,93536
Ararat Convalescent Hospital (1),2373 Colorado Blvd,Los Angeles,CA,90041
Ararat Convalescent Hospital (2),2373 Colorado Blvd,Los Angeles,CA,90041
Ararat Nursing Facility,15099 Mission Hills Rd,Mission Hills,CA,91345
Arbor Glen Care Center,1033 E Arrow Hwy,Glendora,CA,91740
Astoria Nursing And Rehab Center,14040 Astoria St,Sylmar,CA,91342
Atherton Baptist Home-Sam B. West,214 S Atlantic Blvd,Alhambra,CA,91801
Autumn Hills Health Care Center,430 N Glendale Ave,Glendale,CA,91206
Avalon Villa Care Center,12029 Avalon Blvd,Los Angeles,CA,90061
Avantgarde Senior Living And Memory Care,5645 Lindley Ave,Tarzana,CA,91356
Baldwin Gardens Nursing Center,10786 W Live Oak Ave,Temple City,CA,91780
Barry J. Nidorf Juvenile Hall,16350 Filbert St,Sylmar,CA,91342
Beachwood Post Acute & Rehab,1340 15th St,Santa Monica,CA,90404
Beacon Healthcare Center,919 S Sunset Ave,West Covina,CA,91790
Bel Tooren Villa Convalescent Hospital,16910 Woodruff Ave,Bellflower,CA,90706
Bell Convalescent Hospital,4900 Florence Ave,Bell,CA,90201
Bellflower Post Acute,9710 Artesia Blvd,Bellflower,CA,90706
Belmont Village Westwood,10475 Wilshire Blvd,Los Angeles,CA,90024
Belmont Village of Encino,15451 Ventura Blvd,Sherman Oaks,CA,91403
Belmont Village-Calabasas,24141 Ventura Blvd,Calabasas,CA,91302
Berkley Valley Convalescent Hospital,6600 Sepulveda Blvd,Van Nuys,CA,91411
Beverly Hills Carmel South,8757 Burton Way,Los Angeles,CA,90048
Beverly Hills Gardens Board And Care,1470 S Robertson Blvd,Los Angeles,CA,90035
Beverly West Healthcare,1020 S Fairfax Ave,Los Angeles,CA,90019
Beverlywood Residential Facility,1920 S Robertson Blvd,Los Angeles,CA,90034
Bonnie Brae Convalescent Hospital,420 S Bonnie Brae St,Los Angeles,CA,90057
Bridges To Recovery,10201 Charing Cross Rd,Los Angeles,CA,90024
Broadway Manor Care Center,605 W Broadway,Glendale,CA,91204
Brookdale Central Senior Living-Whittier,8101 Painter Ave,Whittier,CA,90602
Brookdale Gardens of Tarzana,18700 Burbank Blvd,Tarzana,CA,91356
Brookdale Monrovia,201 E Foothill Blvd,Monrovia,CA,91016
Brookdale Northridge Assisted Living,17650 Devonshire St,Northridge,CA,91325
Brookdale Northridge Memory Care,17650 Devonshire St,Northridge,CA,91325
Brookfield Healthcare Center,9300 Telegraph Rd,Downey,CA,90240
Buena Ventura Post Acute Care Center,1016 S Record Ave,Los Angeles,CA,90023
Burbank Healthcare And Rehabilitation Center,1041 S Main St,Burbank,CA,91506
Burlington Convalescent Hospital,845 S Burlington Ave,Los Angeles,CA,90057
CPES California Napa Street,15952 Osborne St,North Hills,CA,91343
California Healthcare And Rehabilitation Center,6700 Sepulveda Blvd,Van Nuys,CA,91411
California Post Acute Care,3615 Imperial Hwy,Lynwood,CA,90262
California Post Acute Convalescent Center,909 S Lake St,Los Angeles,CA,90006
"California State Prison, Lancaster",44750 60th St W,Lancaster,CA,93536
Canyon Oaks Nursing And Rehabilitation Center,22029 Saticoy St,Canoga Park,CA,91303
Canyon Trails At Topanga Senior Living,7945 N Topanga Canyon Blvd,Canoga Park,CA,91304
Carson Senior Assisted Living,345 E Carson St,Carson,CA,90745
Casitas Care Center,10626 Balboa Blvd,Granada Hills,CA,91344
Cedars Assisted Living,17300 Roscoe Blvd,Northridge,CA,91325
Centinela Skilled Nursing & Wellness Centre West,950 S Flower St,Inglewood,CA,90301
Central Juvenile Hall,1605 Eastlake Ave,Los Angeles,CA,90033
Century Regional Detention Facility,11705 S Alameda St,Lynwood,CA,90262
Chandler Convalescent Hospital,525 S Central Ave,Glendale,CA,91204
Chatsworth Park Care Center,10610 Owensmouth Ave,Chatsworth,CA,91311
Chino Valley Health Care Center,2351 S Towne Ave,Pomona,CA,91766
City View Assisted Living,515 N La Brea Ave,Los Angeles,CA,90036
Clara Baldwin Stocker Home,527 S Valinda Ave,West Covina,CA,91790
Claremont Care Center,219 E Foothill Blvd,Pomona,CA,91768
College Hospital,10802 College Pl,Cerritos,CA,90703
College Medical Center,13300 Hawthorne Blvd,Hawthorne,CA,90250
Colonial Gardens Nursing Home,7246 Rosemead Blvd,Pico Rivera,CA,90660
Continental Guest Home,444 E 51st St,Los Angeles,CA,90011
Coral Oaks Care Living,4271 Carlin Ave,Lynwood,CA,90262
"Corbin Congregate Home, Inc",9909 Bothwell Rd,Northridge,CA,91324
Country Cottage 1,14508 Fonthill Ave,Hawthorne,CA,90250
Country Manor Healthcare,11723 Fenton Ave,Lake View Terrace,CA,91342
Country Villa Claremont Healthcare Center,590 S Indian Hill Blvd,Claremont,CA,91711
Country Villa Los Feliz Nursing Center,3002 Rowena Ave,Los Angeles,CA,90039
Country Villa Mar Vista Nursing Center,3966 Marcasel Ave,Los Angeles,CA,90066
Country Villa North Convalescent Center,3233 W Pico Blvd,Los Angeles,CA,90019
Country Villa Rehabilitation Center,340 S Alvarado St,Los Angeles,CA,90057
Country Villa Sheraton Nursing And Rehab Center,9655 N Sepulveda Blvd,North Hills,CA,91343
Country Villa Terrace Nursing Center,6050 W Pico Blvd,Los Angeles,CA,90035
Country Villa Westwood Convalescent Center,12121 Santa Monica Blvd,Los Angeles,CA,90025
Country Villa Wilshire Convalescent Center,855 N Fairfax Ave,Los Angeles,CA,90046
Courtyard Care Center,1880 Dawson Ave,Signal Hill,CA,90755
Covina Rehabilitation Center,261 W Badillo St,Covina,CA,91723
Crenshaw Nursing Home,1900 S Longwood Ave,Los Angeles,CA,90016
Culver West Health Center,4035 Grand View Blvd,Los Angeles,CA,90066
Dearborn Home,16516 Dearborn St,North Hills,CA,91343
Del Amo Behavioral Health System,23700 Camino Del Sol,Torrance,CA,90505
Del Amo Gardens Care Center,22419 Kent Ave,Torrance,CA,90505
Del Rio Convalescent Center,7004 Gage Ave,Bell Gardens,CA,90201
