"Grancell Village of The Jewish Homes For The Aging","7150 Tampa Ave, Reseda, CA, 91335","Match","Exact","7150 TAMPA AVE, RESEDA, CA, 91335","-118.55351,34.19998","141554186","R"
"Country Villa North Convalescent Center","3233 W Pico Blvd, Los Angeles, CA, 90019","Match","Non_Exact","3233 W PICO BLVD, LOS ANGELES, CA, 90019","-118.313225,34.047188","141605611","R"
"Country Villa Los Feliz Nursing Center","3002 Rowena Ave, Los Angeles, CA, 90039","Match","Exact","3002 ROWENA AVE, LOS ANGELES, CA, 90039","-118.26969,34.108723","141610495","L"
"California Post Acute Care","3615 Imperial Hwy, Lynwood, CA, 90262","Match","Exact","3615 IMPERIAL HWY, LYNWOOD, CA, 90262","-118.20403,33.930946","142764697","L"
"Family Circle","8061 Saint Clair Ave, N Hollywood, CA, 91605","Match","Exact","8061 SAINT CLAIR AVE, N HOLLYWOOD, CA, 91605","-118.39982,34.217155","141552945","L"
"Metropolitan Detention Center","535 N Alameda St, Los Angeles, CA, 90012","Match","Non_Exact","535 N ALAMEDA ST, LOS ANGELES, CA, 90012","-118.237976,34.053024","142457622","L"
"Silverado Calabasas Assisted Living","25100 Calabasas Rd, Calabasas, CA, 91302","Match","Exact","25100 CALABASAS RD, CALABASAS, CA, 91302","-118.67166,34.148815","241249718","R"
"Pitchess Detention Facility","29320 The Old Rd, Castaic, CA, 91384","Match","Non_Exact","29320 THE OLD RD, CASTAIC, CA, 91384","-118.61708,34.468445","141862143","R"
"Lakewood Park Manor","12045 Lakewood Blvd, Downey, CA, 90242","Match","Exact","12045 LAKEWOOD BLVD, DOWNEY, CA, 90242","-118.13138,33.925518","614992222","R"
"Covina Rehabilitation Center","261 W Badillo St, Covina, CA, 91723","Tie"
"Palazzo Post Acute (1)","5400 Fountain Ave, Los Angeles, CA, 90029","Match","Exact","5400 FOUNTAIN AVE, LOS ANGELES, CA, 90029","-118.30717,34.094963","141603148","L"
"Panorama Gardens Nursing And Rehabilitation Center","9541 Van Nuys Blvd, Panorama City, CA, 91402","Match","Exact","9541 VAN NUYS BLVD, PANORAMA CITY, CA, 91402","-118.45025,34.243748","141549601","L"
"The Kensington Sierra Madre - Memory Care Unit","245 W Sierra Madre Blvd, Sierra Madre, CA, 91024","Tie"
"Las Flores Convalescent Hospital","14165 Purche Ave, Gardena, CA, 90249","Match","Exact","14165 PURCHE AVE, GARDENA, CA, 90249","-118.32062,33.90233","241242880","R"
"Royal Palms Post Acute","630 W Broadway, Glendale, CA, 91204","Match","Non_Exact","630 W BROADWAY, GLENDALE, CA, 91204","-118.268394,34.146774","642193194","L"
"Country Villa Claremont Healthcare Center","590 S Indian Hill Blvd, Claremont, CA, 91711","Tie"
"Crenshaw Nursing Home","1900 S Longwood Ave, Los Angeles, CA, 90016","Match","Non_Exact","1900 S LONGWOOD AVE, LOS ANGELES, CA, 90016","-118.345474,34.0398","642861408","L"
"Central Juvenile Hall","1605 Eastlake Ave, Los Angeles, CA, 90033","Match","Exact","1605 EASTLAKE AVE, LOS ANGELES, CA, 90033","-118.20567,34.06334","141622664","L"
"FCI, Terminal Island","1299 Seaside Ave, San Pedro, CA, 90731","No_Match"
"Atherton Baptist Home-Sam B. West","214 S Atlantic Blvd, Alhambra, CA, 91801","Tie"
"Antelope Valley Care Center","44567 15th St W, Lancaster, CA, 93534","Match","Exact","44567 15TH ST W, LANCASTER, CA, 93534","-118.15687,34.692013","640425337","L"
"Virginia House","18831 Topham St, Tarzana, CA, 91335","Match","Exact","18831 TOPHAM ST, TARZANA, CA, 91335","-118.54348,34.180607","636156386","R"
"Sherman Oaks Health & Rehabilitation Center","14401 Huston St, Sherman Oaks, CA, 91423","Match","Exact","14401 HUSTON ST, SHERMAN OAKS, CA, 91423","-118.4466,34.159424","141561629","R"
"Ararat Nursing Facility","15099 Mission Hills Rd, Mission Hills, CA, 91345","Match","Exact","15099 MISSION HILLS RD, MISSION HILLS, CA, 91345","-118.460815,34.28159","141816865","R"
"Country Villa Mar Vista Nursing Center","3966 Marcasel Ave, Los Angeles, CA, 90066","Match","Exact","3966 MARCASEL AVE, LOS ANGELES, CA, 90066","-118.42502,34.003506","142677772","L"
"Temple City Healthcare","5101 Tyler Ave, Temple City, CA, 91780","Match","Exact","5101 TYLER AVE, TEMPLE CITY, CA, 91780","-118.02543,34.098305","141645773","L"
"Landmark Medical Center","2030 N Garey Ave, Pomona, CA, 91767","Match","Non_Exact","2030 N GAREY AVE, POMONA, CA, 91767","-117.75239,34.08402","141733244","R"
"Mount San Antonio Gardens","900 E Harrison Ave, Pomona, CA, 91767","No_Match"
"Pacifica Senior Living","8700 Lindley Ave, Northridge, CA, 91325","Match","Exact","8700 LINDLEY AVE, NORTHRIDGE, CA, 91325","-118.52734,34.228764","141543530","R"
"Santa Monica Health Care Center","1320 20th St, Santa Monica, CA, 90404","Match","Exact","1320 20TH ST, SANTA MONICA, CA, 90404","-118.48116,34.029686","141559378","R"
"Ararat Convalescent Hospital (2)","2373 Colorado Blvd, Los Angeles, CA, 90041","No_Match"
"Monte Cedro Retirement Comm","2212 El Molino Ave, Altadena, CA, 91001","No_Match"
"Rosecrans Villa","14110 Cordary Ave, Hawthorne, CA, 90250","Match","Exact","14110 CORDARY AVE, HAWTHORNE, CA, 90250","-118.34167,33.903076","142752689","L"
"Huntington Healthcare Center","4515 Huntington Dr S, Los Angeles, CA, 90032","Match","Exact","4515 HUNTINGTON DR S, LOS ANGELES, CA, 90032","-118.18811,34.08413","645095306","L"
"Avalon Villa Care Center","12029 Avalon Blvd, Los Angeles, CA, 90061","Match","Exact","12029 AVALON BLVD, LOS ANGELES, CA, 90061","-118.26519,33.92279","142685219","R"
"Del Amo Behavioral Health System","23700 Camino Del Sol, Torrance, CA, 90505","No_Match"
"Vermont Healthcare Center","22035 S Vermont Ave, Torrance, CA, 90502","Match","Non_Exact","22035 S VERMONT AVE, TORRANCE, CA, 90502","-118.290276,33.8275","241243681","R"
"Burbank Healthcare And Rehabilitation Center","1041 S Main St, Burbank, CA, 91506","Match","Non_Exact","1041 S MAIN ST, BURBANK, CA, 91506","-118.311195,34.1626","141595669","R"
"Studio City Rehabilitation Center","11429 Ventura Blvd, Studio City, CA, 91604","No_Match"
"Valley Village Tupperhouse","16124 Tupper St, North Hills, CA, 91343","Match","Exact","16124 TUPPER ST, NORTH HILLS, CA, 91343","-118.482925,34.239277","141544780","L"
"Montrose Springs Skilled Nursing & Wellness Center (1)","2635 Honolulu Ave, Montrose, CA, 91020","Match","Exact","2635 HONOLULU AVE, MONTROSE, CA, 91020","-118.23643,34.209236","141590080","R"
"Continental Guest Home","444 E 51st St, Los Angeles, CA, 90011","Match","Non_Exact","444 E 51ST ST, LOS ANGELES, CA, 90011","-118.26682,33.99656","141670339","R"
"Infinity Care of East Los Angeles","101 S Fickett St, Los Angeles, CA, 90033","Tie"
"Ararat Convalescent Hospital (1)","2373 Colorado Blvd, Los Angeles, CA, 90041","No_Match"
"Providence Holy Cross Med Center","15031 Rinaldi St, Mission Hills, CA, 91345","Match","Exact","15031 RINALDI ST, MISSION HILLS, CA, 91345","-118.45971,34.27901","142041035","R"
"Alhambra Healthcare & Wellness Centre, LP (1)","415 S Garfield Ave, Alhambra, CA, 91801","Tie"
"Bonnie Brae Convalescent Hospital","420 S Bonnie Brae St, Los Angeles, CA, 90057","Match","Non_Exact","420 S BONNIE BRAE ST, LOS ANGELES, CA, 90057","-118.27104,34.060566","141616463","L"
"Carson Senior Assisted Living","345 E Carson St, Carson, CA, 90745","Tie"
"Clara Baldwin Stocker Home","527 S Valinda Ave, West Covina, CA, 91790","Match","Non_Exact","527 S VALINDA AVE, WEST COVINA, CA, 91790","-117.92536,34.065475","648642253","R"
"Griffith Park Health Care Center","201 Allen Ave, Glendale, CA, 91201","Match","Exact","201 ALLEN AVE, GLENDALE, CA, 91201","-118.30571,34.162388","647503170","L"
"Grupo 24 Horas De Alcoholicos Anoninmos Los Angeles","6403 Crenshaw Blvd, Los Angeles, CA, 90043","Match","Exact","6403 CRENSHAW BLVD, LOS ANGELES, CA, 90043","-118.33086,33.98174","141655105","R"
"Belmont Village Westwood","10475 Wilshire Blvd, Los Angeles, CA, 90024","Match","Exact","10475 WILSHIRE BLVD, LOS ANGELES, CA, 90024","-118.4314,34.06507","141567817","R"
"Skyline Healthcare Center-Los Angeles","3032 Rowena Ave, Los Angeles, CA, 90039","Match","Exact","3032 ROWENA AVE, LOS ANGELES, CA, 90039","-118.27017,34.108852","141610495","L"
"Windsor Palms Care Center of Artesia","11900 Artesia Blvd, Artesia, CA, 90701","Match","Exact","11900 ARTESIA BLVD, ARTESIA, CA, 90701","-118.079895,33.87305","141744154","R"
"Maple Health Care Center (1)","2625 Maple Ave, Los Angeles, CA, 90011","Match","Exact","2625 MAPLE AVE, LOS ANGELES, CA, 90011","-118.265594,34.02318","141619193","R"
"New Vista Post-Acute Care Center","1516 Sawtelle Blvd, Los Angeles, CA, 90025","Match","Exact","1516 SAWTELLE BLVD, LOS ANGELES, CA, 90025","-118.4498,34.048096","141567603","L"
"Chatsworth Park Care Center","10610 Owensmouth Ave, Chatsworth, CA, 91311","Match","Exact","10610 OWENSMOUTH AVE, CHATSWORTH, CA, 91311","-118.601685,34.26291","141531949","R"
